id_juego,Titulo,Día y hora,Plataforma,Genero,Compañia,Lanzamiento,Idiomas,Calificación PSN,Número de calificaciones,Calificación 5 estrellas,Calificación 4 estrellas,Calificación 3 estrellas,Calificación 2 estrellas,Calificación 1 estrella,Precio original_es,Oferta_es,Oferta PSPlus_es,Otra promo diferente a PSPLUS_es,País Store,Precio original_jp,Oferta_jp,Oferta PSPlus_jp,Otra promo diferente a PSPLUS_jp,Precio original_us,Oferta_us,Oferta PSPlus_us,Otra promo diferente a PSPLUS_us
10003612,Tchia (PS4 & PS5),2024-04-17 09:59:38.054833,"PS4, PS5",Aventura,Kepler Interactive Limited,2023-03-21," Ruso, Chino (Simplificado), Inglés, Coreano, Portugués (Brasil), Español,Alemán, Japonés, Francés (Francia), Italiano",4.0,2395,1293,455,263,143,239,29.99,29.99,-1.0,-1.0,ESP,4070.0,4070.0,-1.0,-1.0,29.99,29.99,-1.0,-1.0
229810,Pinstripe,2024-04-17 09:59:39.502774,PS4," Puzzle, Casual,Aventura",ARMOR GAMES INC,2018-02-11," Ruso, Chino (Simplificado), Inglés, Portugués (Brasil), Español,Alemán, Francés (Francia)",4.46,212,137,48,14,4,6,14.49,14.49,-1.0,-1.0,ESP,-1.0,-1.0,-1.0,-1.0,14.99,14.99,-1.0,-1.0
232873,Pode,2024-04-17 09:59:40.833397,PS4," Aventura, Puzzle,Aventura",Altered Ventures Sdn. Bhd.,2019-02-18," Turco, Ruso, Sueco, Inglés, Portugués (Brasil), Español,Alemán, Finlandés, Japonés, Noruego, Francés (Francia), Portugués (Portugal), Árabe, Polaco, Español (México), Italiano",4.7,108,88,12,2,1,3,23.99,23.99,-1.0,-1.0,ESP,-1.0,-1.0,-1.0,-1.0,24.99,24.99,-1.0,-1.0
221219,Ultra Street Fighter™ IV,2024-04-17 09:59:42.249395,PS4,"Lucha, Lucha",Sony Interactive Entertainment Europe,2015-05-25," Inglés, Español,Alemán, Francés (Francia), Italiano",4.57,18259,14059,2373,912,182,730,24.99,24.99,0.0,-1.0,ESP,3046.0,395.0,0.0,-1.0,24.99,24.99,0.0,-1.0
10002985,Train Life: A Railway Simulator - Orient-Express Train Edition,2024-04-17 09:59:43.713024,"PS4, PS5",Simulación,NACON SA,2022-09-22," Neerlandés, Turco, Ruso, Chino (Tradicional), Chino (Simplificado), Inglés, Coreano, Portugués (Brasil), Español,Alemán, Japonés, Francés (Francia), Polaco, Italiano",3.72,238,116,35,30,19,38,39.99,39.99,-1.0,-1.0,ESP,4290.0,4290.0,-1.0,-1.0,39.99,39.99,-1.0,-1.0
227485,Rabi-Ribi,2024-04-17 09:59:45.081240,PS4," Acción, Arcade,Aventura","SEKAI PROJECT, INC",2017-08-31," Chino (Tradicional), Chino (Simplificado), Inglés, Español,Alemán, Japonés, Francés (Francia)",4.76,574,510,34,11,5,17,19.99,11.99,9.99,-1.0,ESP,1980.0,1980.0,-1.0,-1.0,19.99,11.99,9.99,-1.0
216078,Broforce,2024-04-17 09:59:46.574871,PS4,"Acción, Acción",Devolver Digital,2016-02-29," Inglés, Coreano, Portugués (Brasil), Español,Alemán, Japonés, Francés (Francia), Italiano",4.39,64511,44512,9676,4515,1290,3870,14.99,2.99,-1.0,-1.0,ESP,1507.0,301.0,-1.0,-1.0,14.99,2.99,-1.0,-1.0
204490,SENRAN KAGURA ESTIVAL VERSUS,2024-04-17 09:59:48.029718,PS4,"Acción, Acción",Marvelous Europe Limited,2016-03-17,Inglés,4.75,8444,7092,928,253,84,84,29.99,5.99,-1.0,-1.0,ESP,2981.0,2981.0,-1.0,-1.0,29.99,29.99,-1.0,-1.0
231073,DRAGON QUEST BUILDERS 2 Standard Edition,2024-04-17 09:59:49.653228,PS4," Aventura,Juegos de rol, Juegos de rol",Square Enix LTD,2019-07-11," Inglés, Español,Alemán, Francés (Francia), Italiano",4.7,5490,4666,439,164,54,164,39.99,39.99,0.0,-1.0,ESP,5478.0,5478.0,0.0,-1.0,39.99,39.99,0.0,-1.0
10006345,Garden of the Sea,2024-04-17 09:59:51.074622,PS5," Familia, Casual,Aventura",NECO SOFTWARE,2023-02-21," Neerlandés, Inglés, Coreano, Francés (Francia), Árabe,Alemán, Japonés, Sueco, Chino (Tradicional), Chino (Simplificado), Portugués (Brasil), Español, Finlandés, Portugués (Portugal), Turco, Ruso, Danés, Noruego, Polaco, Italiano",4.3,138,78,38,9,5,5,20.99,20.99,-1.0,-1.0,ESP,-1.0,-1.0,-1.0,-1.0,24.99,24.99,-1.0,-1.0
