id_juego,Titulo,Día y hora,Plataforma,Genero,Compañia,Lanzamiento,Idiomas,Calificación PSN,Número de calificaciones,Calificación 5 estrellas,Calificación 4 estrellas,Calificación 3 estrellas,Calificación 2 estrellas,Calificación 1 estrella,Precio original_es,Oferta_es,Oferta PSPlus_es,Otra promo diferente a PSPLUS_es,País Store,Precio original_jp,Oferta_jp,Oferta PSPlus_jp,Otra promo diferente a PSPLUS_jp,Precio original_us,Oferta_us,Oferta PSPlus_us,Otra promo diferente a PSPLUS_us
234467,Asdivine Menace,2024-05-13 10:30:14.945316,PS4,Juegos de rol,KEMCO,2021-06-08,Inglés,4.26,81,51,12,9,0,5,14.99,7.49,6.74,-1.0,ESP,1320.0,726.0,660.0,-1.0,14.99,7.49,6.74,-1.0
225020,Aven Colony,2024-05-13 10:30:16.283538,PS4," Estrategia,Simulación",Team 17 Digital LTD,2017-07-24," Italiano, Ruso, Inglés, Español,Alemán, Francés (Francia)",4.13,1039,529,280,124,41,62,29.99,29.99,-1.0,-1.0,ESP,-1.0,-1.0,-1.0,-1.0,29.99,29.99,-1.0,-1.0
10010397,Infantry Attack,2024-05-13 10:30:17.809479,PS4,"Acción, Juegos de disparos",QUBICGAMES SP. Z O.O.,2024-04-18,Inglés,4.58,43,33,5,3,0,0,7.99,7.99,3.99,-1.0,ESP,-1.0,-1.0,-1.0,-1.0,7.99,7.99,3.99,-1.0
10006847,Animal Shelter,2024-05-13 10:30:19.113490,PS4,Simulador,ULTIMATE GAMES,2023-03-03," Italiano, Ruso, Chino (Tradicional), Chino (Simplificado), Coreano, Inglés, Portugués (Brasil), Polaco, Turco, Español, Japonés,Alemán, Francés (Francia)",3.77,112,53,17,15,7,15,14.99,5.99,5.24,-1.0,ESP,1980.0,792.0,693.0,-1.0,15.49,6.19,5.41,-1.0
231334,Minefield,2024-05-13 10:30:20.469107,PS4," Deporte,Simulación, Únicos",KODOBUR YAZILIM BILISIM TASARIM ARG,2018-03-16,Inglés,3.25,5886,2295,588,1000,294,1706,0.0,0.0,-1.0,-1.0,ESP,0.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
10000355,Skater XL,2024-05-13 10:30:22.081343,PS4,Deporte,EASY DAY STUDIOS PTY LTD,2020-07-27," Italiano, Portugués (Brasil), Inglés, Español, Francés (Canadá),Alemán, Portugués (Portugal), Francés (Francia)",3.54,5167,2583,568,413,361,1291,39.99,39.99,-1.0,-1.0,ESP,6589.0,6589.0,-1.0,-1.0,39.99,39.99,-1.0,-1.0
10003575,The Last Oricru - Final Cut,2024-05-13 10:30:23.345221,PS5,Juegos de rol,Prime Matter,2022-10-12," Italiano, Checo, Ruso, Chino (Tradicional), Español (México), Chino (Simplificado), Coreano, Inglés, Portugués (Brasil), Polaco, Español, Japonés,Alemán, Francés (Francia)",3.23,165,49,23,39,19,33,19.99,19.99,-1.0,-1.0,ESP,2090.0,2090.0,-1.0,-1.0,19.99,19.99,-1.0,-1.0
229756,Ben 10,2024-05-13 10:30:24.844313,PS4," Acción,Familia",OUTRIGHT GAMES LLC,2017-11-09," Italiano, Inglés, Español,Alemán, Francés (Francia)",3.92,2659,1435,452,265,79,398,24.99,24.99,-1.0,-1.0,ESP,-1.0,-1.0,-1.0,-1.0,24.99,24.99,-1.0,-1.0
225430,The Mean Greens - Plastic Warfare,2024-05-13 10:30:26.151183,PS4,"Acción, Juegos de disparos",VIRTUAL BASEMENT LLC,2020-08-04," Italiano, Ruso, Chino (Tradicional), Chino (Simplificado), Coreano, Inglés, Español, Japonés,Alemán, Portugués (Portugal), Francés (Francia)",3.33,501,225,55,35,35,150,9.99,9.99,-1.0,-1.0,ESP,-1.0,-1.0,-1.0,-1.0,9.99,9.99,-1.0,-1.0
234617,STAR WARS™ Jedi Knight II: Jedi Outcast™,2024-05-13 10:30:27.471134,PS4," Acción,Acción, Juegos de disparos",ASPYR MEDIA,2019-09-23," Italiano, Inglés, Español,Alemán, Francés (Francia)",4.16,1907,1258,228,114,76,228,9.99,9.99,-1.0,-1.0,ESP,1320.0,1320.0,-1.0,-1.0,9.99,9.99,-1.0,-1.0
