id_juego,Titulo,Día y hora,Plataforma,Genero,Compañia,Lanzamiento,Idiomas,Calificación PSN,Número de calificaciones,Calificación 5 estrellas,Calificación 4 estrellas,Calificación 3 estrellas,Calificación 2 estrellas,Calificación 1 estrella,Precio original sin PSN,Precio actual sin PSN,Precio original con PSN,Precio actual con PSN,País Store
10007176,EA SPORTS FC™ 24 Standard Edition PS4版 & PS5版,2024-03-19T08:29:46.231447,"PS4, PS5",スポーツ,エレクトロニック・アーツ（株）,2023/9/28,"中国語 (簡体字), 中国語 (繁体字), 日本語, 英語, 韓国語",3.41,58246件の評価,45％,12％,10％,5％,28％,"¥9,700","¥1,940","¥9,700","¥1,940",JAP
228748,Fortnite,2024-03-19T08:29:49.901046,PS5,"アクション, アドベンチャー",EPIC GAMES,2017/7/21,"アラビア語, イタリア語, スペイン語, スペイン語(メキシコ), トルコ語, ドイツ語, フランス語 (フランス), ポルトガル語 (ブラジル), ポーランド語, ロシア語, 日本語, 英語, 韓国語",4.32,6725137件の評価,71％,10％,8％,1％,10％,無料,無料,無料,無料,JAP
10000657,HELLDIVERS™ 2,2024-03-19T08:29:53.236665,PS5,アクション,ソニー・インタラクティブエンタテインメント,2024/2/8,"日本語, 英語",4.48,46785件の評価,81％,7％,2％,2％,9％,"¥4,480","¥4,480","¥4,480","¥4,480",JAP
10001130,Call of Duty®: Modern Warfare® III - クロスジェンバンドル,2024-03-19T08:29:57.909780,"PS4, PS5",アクション,"Activision Publishing, Inc.",2023/11/2,No hay información,4.04,294982件の評価,62％,11％,11％,2％,14％,"¥9,800","¥9,800","¥9,800","¥9,800",JAP
10005844,Dragon's Dogma 2,2024-03-19T08:30:03.221914,PS5,"アクション, RPG",(株)カプコン,2024/3/21,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,"¥8,990","¥8,990","¥8,990","¥8,990",JAP
201930,GTAオンライン (PlayStation®5),2024-03-19T08:30:07.762485,PS5,"アクション, アドベンチャー",Take-Two Interactive Japan GK,2022/3/14,"日本語, 英語",4.52,679080件の評価,79％,8％,5％,1％,7％,"¥2,475","¥2,475","¥2,475","¥2,475",JAP
10007788,PS5™版『NBA 2K24』コービー・ブライアント エディション (通常版),2024-03-19T08:30:11.276045,PS5,スポーツ,Take-Two,2023/9/7,"イタリア語, スペイン語, ドイツ語, フランス語 (フランス), 中国語 (簡体字), 中国語 (繁体字), 日本語, 英語, 韓国語",3.16,19830件の評価,36％,13％,12％,8％,31％,"¥8,800",含まれます,"¥8,800",含まれます,JAP
203897,『レインボーシックス シージ』デラックスエディション,2024-03-19T08:30:14.998129,"PS4, PS5","アクション, シューティング",ユービーアイソフト(株),2024/3/12,No hay información,4.34,259177件の評価,73％,10％,5％,2％,11％,"¥3,960",¥198,"¥3,960",¥198,JAP
10000896,原神,2024-03-19T08:30:18.589119,"PS4, PS5","アクション, アドベンチャー, RPG",COGNOSPHERE PTE. LTD.,2021/4/27,"イタリア語, スペイン語, タイ語, トルコ語, ドイツ語, フランス語 (フランス), ベトナム語, ポルトガル語 (ポルトガル), ロシア語, 中国語 (簡体字), 中国語 (繁体字), 日本語, 英語, 韓国語",4.42,325236件の評価,76％,9％,5％,1％,9％,無料,無料,無料,無料,JAP
10003386,Rise of the Ronin™,2024-03-19T08:30:22.232579,PS5,"アクション, アドベンチャー",ソニー・インタラクティブエンタテインメント,2024/3/21,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,"¥8,980","¥8,980","¥8,980","¥8,980",JAP
10007978,『WWE 2K24』両世代機対応デジタル エディション,2024-03-19T08:30:26.404586,"PS4, PS5",スポーツ,Take-Two,2024/3/7,No hay información,4.65,1892件の評価,84％,7％,3％,1％,4％,"¥8,800","¥8,800","¥8,800","¥8,800",JAP
10008554,No hay información,2024-03-19T08:30:29.959644,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,JAP
10003999,FINAL FANTASY VII REBIRTH,2024-03-19T08:30:33.052094,PS5,RPG,(株)スクウェア・エニックス,2024/2/28,"イタリア語, スペイン語, スペイン語(メキシコ), ドイツ語, フランス語 (フランス), ポルトガル語 (ブラジル), 日本語, 英語",4.78,22141件の評価,92％,2％,2％,1％,3％,"¥9,878","¥9,878","¥9,878","¥9,878",JAP
10002427,eFootball™ 2024,2024-03-19T08:30:35.416877,PS5,スポーツ,(株)コナミデジタルエンタテインメント,2021/9/30,"日本語, 英語",3.75,270275件の評価,53％,12％,12％,3％,20％,"¥2,200","¥1,320","¥2,200","¥1,320",JAP
