id_juego,Titulo,Día y hora,Plataforma,Genero,Compañia,Lanzamiento,Idiomas,Calificación PSN,Número de calificaciones,Calificación 5 estrellas,Calificación 4 estrellas,Calificación 3 estrellas,Calificación 2 estrellas,Calificación 1 estrella,Precio original sin PSN,Precio actual sin PSN,Precio original con PSN,Precio actual con PSN,País Store
10007176,EA SPORTS FC™ 24 Standard Edition para PS4 y PS5,2024-03-17T22:04:21.782046,"PS4, PS5",Deporte,EA Swiss Sarl,28/9/2023,No hay información,3.41,57862 calificaciones,45 %,12 %,10 %,5 %,28 %,"79,99 €","15,99 €","79,99 €","15,99 €",ESP
228748,Fortnite,2024-03-17T22:04:25.428124,PS5,"Acción, Aventura",EPIC GAMES,21/7/2017,"Alemán, Coreano, Español, Español (México), Francés (Francia), Inglés, Italiano, Japonés, Polaco, Portugués (Brasil), Ruso, Turco, Árabe",4.32,6722978 calificaciones,71 %,10 %,8 %,1 %,10 %,Gratis,Gratis,Gratis,Gratis,ESP
10000657,HELLDIVERS™ 2,2024-03-17T22:04:29.450968,PS5,Acción,Sony Interactive Entertainment Europe,8/2/2024,"Alemán, Español, Francés (Francia), Inglés, Italiano, Polaco, Portugués (Portugal), Ruso",4.48,45915 calificaciones,81 %,7 %,2 %,2 %,9 %,"39,99 €","39,99 €","39,99 €","39,99 €",ESP
10001130,Call of Duty®: Modern Warfare® III - Lote Multigeneración,2024-03-17T22:04:33.335317,"PS4, PS5",Acción,Activision Blizzard Int'l BV,2/11/2023,"Alemán, Español, Francés (Francia), Inglés, Italiano, Polaco, Ruso",4.04,294502 calificaciones,62 %,11 %,11 %,2 %,14 %,"79,99 €","79,99 €","79,99 €","79,99 €",ESP
201930,Grand Theft Auto Online (PlayStation®5),2024-03-17T22:04:37.552646,PS5,"Acción, Aventura",Rockstar Games,14/3/2022,"Alemán, Chino (Simplificado), Chino (Tradicional), Coreano, Español, Español (México), Francés (Francia), Inglés, Italiano, Polaco, Portugués (Brasil), Ruso",4.52,678867 calificaciones,79 %,8 %,5 %,1 %,7 %,"19,99 €","9,99 €","19,99 €","9,99 €",ESP
10007788,Edición Kobe Bryant de NBA 2K24 para PS5™,2024-03-17T22:04:42.386480,PS5,Deporte,2K,7/9/2023,"Alemán, Chino (Simplificado), Chino (Tradicional), Coreano, Español, Francés (Francia), Inglés, Italiano, Japonés",3.16,19709 calificaciones,36 %,13 %,12 %,8 %,31 %,"79,99 €","79,99 €","79,99 €","79,99 €",ESP
10005844,Dragon's Dogma 2,2024-03-17T22:04:46.460542,PS5,"Acción, Juegos de rol",CE EUROPE LIMITED,21/3/2024,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,"74,99 €","74,99 €","74,99 €","74,99 €",ESP
203897,Tom Clancy's Rainbow Six® Siege - Deluxe Edition,2024-03-17T22:04:50.516799,"PS4, PS5","Acción, Juegos de disparos",UBISOFT ENTERTAINMENT SA,12/3/2024,No hay información,4.34,259024 calificaciones,73 %,10 %,5 %,2 %,11 %,"29,99 €","5,99 €","29,99 €","5,99 €",ESP
10007978,Edición Digital WWE 2K24 Cross-Gen,2024-03-17T22:04:55.870640,"PS4, PS5",Deporte,2K,7/3/2024,"Alemán, Español, Francés (Francia), Inglés, Italiano, Árabe",4.66,1790 calificaciones,84 %,7 %,3 %,1 %,4 %,"74,99 €","74,99 €","74,99 €","74,99 €",ESP
10003999,FINAL FANTASY VII REBIRTH,2024-03-17T22:04:59.808183,PS5,Juegos de rol,Square Enix LTD,28/2/2024,"Alemán, Español, Español (México), Francés (Francia), Inglés, Italiano, Japonés, Portugués (Brasil)",4.78,21635 calificaciones,92 %,2 %,2 %,1 %,3 %,"79,99 €","79,99 €","79,99 €","79,99 €",ESP
10000896,Genshin Impact,2024-03-17T22:05:03.386132,"PS4, PS5","Acción, Aventura, Juegos de rol",COGNOSPHERE PTE. LTD.,27/4/2021,"Alemán, Chino (Simplificado), Chino (Tradicional), Coreano, Español, Francés (Francia), Inglés, Italiano, Japonés, Portugués (Portugal), Ruso, Tailandés, Turco, Vietnamita",4.42,325052 calificaciones,76 %,9 %,5 %,1 %,9 %,Gratis,Gratis,Gratis,Gratis,ESP
10008554,STAR WARS™ Battlefront Classic Collection,2024-03-17T22:05:06.933969,"PS4, PS5","Juegos de disparos, Juegos de disparos",ASPYR MEDIA,13/3/2024,"Alemán, Chino (Simplificado), Español, Francés (Francia), Inglés, Italiano, Ruso",3.12,3657 calificaciones,41 %,7 %,8 %,8 %,35 %,"34,99 €","34,99 €","34,99 €","34,99 €",ESP
10003386,Rise of the Ronin™,2024-03-17T22:05:10.424213,PS5,"Acción, Aventura",Sony Interactive Entertainment Europe,21/3/2024,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,"79,99 €","79,99 €","79,99 €","79,99 €",ESP
10002788,UFC™ 5,2024-03-17T22:05:13.987539,PS5,Lucha,EA Swiss Sarl,26/10/2023,"Alemán, Chino (Simplificado), Chino (Tradicional), Coreano, Español, Español (México), Francés (Francia), Inglés, Italiano, Japonés, Portugués (Brasil)",3,6377 calificaciones,30 %,16 %,12 %,9 %,34 %,"79,99 €","79,99 €","79,99 €","79,99 €",ESP
10002427,eFootball™ 2024,2024-03-17T22:05:19.115510,PS5,Deporte,Konami,30/9/2021,"Alemán, Español, Francés (Francia), Griego, Inglés, Italiano, Neerlandés, Portugués (Portugal), Ruso, Sueco, Turco, Árabe",3.75,269847 calificaciones,53 %,12 %,12 %,3 %,20 %,"19,99 €","12,99 €","19,99 €","12,99 €",ESP
203715,Rocket League®,2024-03-17T22:05:23.381660,PS4,"Deporte, Acción, Conducción/Carreras",Psyonix,6/7/2015,"Alemán, Coreano, Español, Francés (Francia), Inglés, Italiano, Japonés, Neerlandés, Polaco, Portugués (Portugal), Ruso, Turco",4.37,1096664 calificaciones,71 %,12 %,8 %,1 %,8 %,Gratis,Gratis,Gratis,Gratis,ESP
10000333,ELDEN RING PS4 & PS5,2024-03-17T22:05:27.259451,"PS4, PS5",Juegos de rol,BANDAI NAMCO ENTERTAINMENT EUROPE,24/2/2022,"Alemán, Español, Francés (Francia), Inglés, Italiano, Polaco, Ruso",4.72,63666 calificaciones,89 %,4 %,1 %,1 %,5 %,"59,99 €","59,99 €","59,99 €","59,99 €",ESP
10000956,Gran Turismo™ 7,2024-03-17T22:05:31.021672,"PS4, PS5",Conducción/Carreras,Polyphony Digital Inc,3/3/2022,"Alemán, Checo, Español, Francés (Francia), Griego, Inglés, Italiano, Japonés, Neerlandés, Polaco, Portugués (Portugal), Ruso, Turco, Árabe",4.35,17645 calificaciones,71 %,13 %,5 %,2 %,9 %,"79,99 €","79,99 €","79,99 €","79,99 €",ESP
