id_juego,Titulo,Día y hora,Plataforma,Genero,Compañia,Lanzamiento,Idiomas,Calificación PSN,Número de calificaciones,Calificación 5 estrellas,Calificación 4 estrellas,Calificación 3 estrellas,Calificación 2 estrellas,Calificación 1 estrella,Precio original sin PSN,Precio actual sin PSN,Precio original con PSN,Precio actual con PSN
10007176,EA SPORTS FC™ 24 Standard Edition para PS4 y PS5,2024-03-09T19:15:06.410672,"PS4, PS5",Deporte,EA Swiss Sarl,28/9/2023,No hay información,3.42,55.708 calificaciones,45 %,12 %,10 %,5 %,28 %,"109,99 €","43,99 €","109,99 €","43,99 €"
228748,Fortnite,2024-03-09T19:15:08.183390,PS5,"Acción, Aventura",EPIC GAMES,21/7/2017,"Alemán, Coreano, Español, Español (México), Francés (Francia), Inglés, Italiano, Japonés, Polaco, Portugués (Brasil), Ruso, Turco, Árabe",4.32,6.703.681 calificaciones,71 %,10 %,8 %,1 %,10 %,Gratis,Gratis,Gratis,Gratis
10000657,HELLDIVERS™ 2,2024-03-09T19:15:09.507252,PS5,Acción,Sony Interactive Entertainment Europe,8/2/2024,"Alemán, Español, Francés (Francia), Inglés, Italiano, Polaco, Portugués (Portugal), Ruso",4.47,40.219 calificaciones,80 %,7 %,2 %,2 %,9 %,"39,99 €","39,99 €","39,99 €","39,99 €"
10003999,FINAL FANTASY VII REBIRTH,2024-03-09T19:15:10.840447,PS5,Juegos de rol,Square Enix LTD,28/2/2024,"Alemán, Español, Español (México), Francés (Francia), Inglés, Italiano, Japonés, Portugués (Brasil)",4.81,18.250 calificaciones,93 %,2 %,2 %,1 %,3 %,"79,99 €","79,99 €","79,99 €","79,99 €"
10001130,Call of Duty®: Modern Warfare® III - Lote Multigeneración,2024-03-09T19:15:12.347733,"PS4, PS5",Acción,Activision Blizzard Int'l BV,2/11/2023,"Alemán, Español, Francés (Francia), Inglés, Italiano, Polaco, Ruso",4.04,290.224 calificaciones,62 %,11 %,11 %,2 %,14 %,"79,99 €","79,99 €","79,99 €","79,99 €"
10007788,Edición Kobe Bryant de NBA 2K24 para PS5™,2024-03-09T19:15:13.921192,PS5,Deporte,2K,7/9/2023,"Alemán, Chino (Simplificado), Chino (Tradicional), Coreano, Español, Francés (Francia), Inglés, Italiano, Japonés",3.18,19.043 calificaciones,36 %,14 %,12 %,8 %,31 %,"79,99 €","79,99 €","79,99 €","79,99 €"
10007978,Edición Digital WWE 2K24 Cross-Gen,2024-03-09T19:15:15.306147,"PS4, PS5",Deporte,2K,7/3/2024,"Alemán, Español, Francés (Francia), Inglés, Italiano, Árabe",4.77,934 calificaciones,88 %,6 %,3 %,0 %,2 %,"74,99 €","74,99 €","74,99 €","74,99 €"
201930,Grand Theft Auto Online (PlayStation®5),2024-03-09T19:15:16.786431,PS5,"Acción, Aventura",Rockstar Games,14/3/2022,"Alemán, Chino (Simplificado), Chino (Tradicional), Coreano, Español, Español (México), Francés (Francia), Inglés, Italiano, Polaco, Portugués (Brasil), Ruso",4.52,677.163 calificaciones,79 %,8 %,5 %,1 %,7 %,"19,99 €","19,99 €","19,99 €","19,99 €"
10002427,eFootball™ 2024,2024-03-09T19:15:18.156637,PS5,Deporte,Konami,30/9/2021,"Alemán, Español, Francés (Francia), Griego, Inglés, Italiano, Neerlandés, Portugués (Portugal), Ruso, Sueco, Turco, Árabe",3.75,266.695 calificaciones,53 %,12 %,12 %,3 %,20 %,Gratis,Gratis,Gratis,Gratis
10002788,UFC™ 5,2024-03-09T19:15:19.974543,PS5,Lucha,EA Swiss Sarl,26/10/2023,"Alemán, Chino (Simplificado), Chino (Tradicional), Coreano, Español, Español (México), Francés (Francia), Inglés, Italiano, Japonés, Portugués (Brasil)",3,6.174 calificaciones,30 %,16 %,11 %,9 %,34 %,"109,99 €","65,99 €","109,99 €","65,99 €"
