id_juego,Titulo,Día y hora,Plataforma,Genero,Compañia,Lanzamiento,Idiomas,Calificación PSN,Número de calificaciones,Calificación 5 estrellas,Calificación 4 estrellas,Calificación 3 estrellas,Calificación 2 estrellas,Calificación 1 estrella,Precio original sin PSN,Precio actual sin PSN,Precio original con PSN,Precio actual con PSN,País Store
216757,Verdun,2024-03-13T09:18:49.931354,"PS4, PS5","Acción, Juegos de disparos, Juegos de disparos",BlackMill Games B.V.,15/6/2021,No hay información,3.83,5742 calificaciones,52 %,18 %,8 %,5 %,17 %,"19,99 €","19,99 €","19,99 €","19,99 €",ESP
10000403,XIII,2024-03-13T09:18:53.201886,PS5,Acción,Microids,12/9/2022,"Alemán, Español, Francés (Francia), Inglés, Italiano, Polaco, Ruso",3.05,458 calificaciones,34 %,14 %,10 %,10 %,33 %,"19,99 €","19,99 €","19,99 €","19,99 €",ESP
204305,Slender: The Arrival,2024-03-13T09:18:56.415832,"PS4, PS5","Terror, Terror",BLUE ISLE STUDIOS INC.,17/10/2023,No hay información,4.38,12474 calificaciones,67 %,17 %,8 %,3 %,5 %,"19,99 €","14,99 €","19,99 €","14,99 €",ESP
10005101,Tekken 6 PS4™ & PS5®,2024-03-13T09:18:59.626342,"PS4, PS5",Lucha,BANDAI NAMCO ENTERTAINMENT EUROPE,17/10/2023,"Alemán, Coreano, Español, Francés (Francia), Inglés, Italiano, Japonés",2.93,1830 calificaciones,37 %,6 %,10 %,8 %,39 %,"9,99 €",Incluido,"9,99 €",Incluido,ESP
227172,NARUTO SHIPPUDEN: Ultimate Ninja STORM 3 Full Burst,2024-03-13T09:20:02.253738,PS4,"Aventura, Lucha",BANDAI NAMCO ENTERTAINMENT EUROPE,25/8/2017,"Alemán, Español, Francés (Francia), Inglés, Italiano, Ruso",4.56,2481 calificaciones,79 %,11 %,3 %,1 %,6 %,"19,99 €","3,99 €","19,99 €","3,99 €",ESP
221077,DEAD OR ALIVE 5 Last Round: Core Fighters,2024-03-13T09:20:05.493526,PS4,"Acción, Acción",Koei Tecmo Europe Ltd,19/2/2015,"Alemán, Español, Francés (Francia), Inglés, Italiano, Japonés",4.12,46854 calificaciones,60 %,14 %,14 %,3 %,10 %,Gratis,Gratis,Gratis,Gratis,ESP
10002576,Rabbids®: Party of Legends,2024-03-13T09:20:08.813832,PS4,Grupo,UBISOFT ENTERTAINMENT SA,29/6/2022,"Alemán, Chino (Simplificado), Chino (Tradicional), Coreano, Español, Español (México), Francés (Francia), Inglés, Italiano, Japonés, Neerlandés, Polaco, Portugués (Brasil), Ruso",4.61,155 calificaciones,81 %,10 %,4 %,2 %,4 %,"39,99 €","11,99 €","39,99 €","11,99 €",ESP
10004263,Hammerwatch II,2024-03-13T09:20:12.012470,PS5,Acción,Maximum Entertainment,4/12/2023,"Alemán, Chino (Simplificado), Chino (Tradicional), Coreano, Español, Francés (Francia), Inglés, Italiano, Japonés, Portugués (Brasil), Ruso",2.89,171 calificaciones,32 %,9 %,11 %,15 %,34 %,"24,99 €","18,74 €","24,99 €","18,74 €",ESP
235077,Liftoff: Drone Racing,2024-03-13T09:20:15.384007,PS4,"Conducción/Carreras, Simulación, Simulador",ASTRAGON ENTERTAINMENT GMBH,10/11/2020,"Alemán, Chino (Simplificado), Chino (Tradicional), Coreano, Español, Francés (Francia), Inglés, Italiano, Japonés, Neerlandés, Portugués (Brasil), Ruso, Turco",2.74,147 calificaciones,31 %,11 %,4 %,8 %,46 %,"24,99 €","7,49 €","24,99 €","7,49 €",ESP
234422,Blasphemous,2024-03-13T09:20:20.034591,PS4,"Acción, Aventura, Juegos de rol",Team 17 Digital LTD,9/9/2019,"Alemán, Chino (Simplificado), Coreano, Español, Francés (Francia), Inglés, Italiano, Japonés, Portugués (Brasil), Ruso",4.65,7929 calificaciones,81 %,12 %,2 %,2 %,3 %,"24,99 €",Incluido,"24,99 €",Incluido,ESP
234410,Streets Of Rage 4,2024-03-13T09:20:24.050452,PS4,"Acción, Arcade, Acción",DOTEMU,29/4/2020,"Alemán, Español, Francés (Francia), Inglés, Italiano, Japonés, Portugués (Brasil), Ruso",4.74,9371 calificaciones,85 %,9 %,3 %,1 %,2 %,"24,99 €","24,99 €","24,99 €","24,99 €",ESP
10008824,Laika: Aged Through Blood,2024-03-13T09:20:27.018376,"PS4, PS5","Aventura, Acción",HEADUP GAMES,5/12/2023,"Alemán, Chino (Simplificado), Coreano, Español, Francés (Francia), Inglés, Japonés, Ruso",4.62,183 calificaciones,83 %,7 %,4 %,2 %,4 %,"19,99 €","15,99 €","19,99 €","14,99 €",ESP
229479,FINAL FANTASY® IX Digital Edition,2024-03-13T09:20:29.712504,PS4,Juegos de rol,Square Enix LTD,19/9/2017,"Alemán, Español, Francés (Francia), Inglés, Italiano",4.85,15545 calificaciones,91 %,6 %,1 %,0 %,1 %,"20,99 €",Incluido,"20,99 €",Incluido,ESP
235392,Synth Riders,2024-03-13T09:20:34.206523,"PS4, PS5","Fitness, Música/Ritmo, Grupo","KLUGE STRATEGIC, INC.",22/2/2023,No hay información,4.73,643 calificaciones,80 %,15 %,4 %,1 %,1 %,"24,99 €","14,99 €","24,99 €","14,99 €",ESP
224936,RWBY: Grimm Eclipse,2024-03-13T09:20:38.965088,PS4,Acción,ROOSTER TEETH,17/1/2017,"Alemán, Chino (Tradicional), Español, Francés (Francia), Inglés, Italiano, Japonés, Portugués (Brasil), Ruso",4.48,2369 calificaciones,72 %,16 %,6 %,3 %,4 %,"19,99 €","19,99 €","19,99 €","19,99 €",ESP
10007477,Afterimage PS4 & PS5,2024-03-13T09:20:42.028739,"PS4, PS5",Aventura,Maximum Entertainment,24/4/2023,"Alemán, Chino (Simplificado), Chino (Tradicional), Coreano, Español, Francés (Francia), Inglés, Italiano, Japonés, Portugués (Brasil), Ruso",4.41,510 calificaciones,70 %,16 %,5 %,4 %,5 %,"24,99 €","13,74 €","24,99 €","13,74 €",ESP
10000743,Virtua Fighter 5 Ultimate Showdown (juego principal + Pack Legendario),2024-03-13T09:20:44.899050,PS4,Lucha,SEGA EUROPE LTD,31/5/2021,"Alemán, Chino (Simplificado), Chino (Tradicional), Coreano, Español, Francés (Francia), Inglés, Italiano, Japonés",3.95,10892 calificaciones,61 %,10 %,9 %,3 %,17 %,"29,99 €","7,49 €","29,99 €","7,49 €",ESP
221537,FINAL FANTASY® VII,2024-03-13T09:20:48.148680,PS4,"Juegos de rol, Juegos de rol",Square Enix LTD,4/12/2015,"Alemán, Español, Francés (Francia), Inglés",No hay información,52012 calificaciones,94 %,4 %,1 %,0 %,1 %,"15,99 €",Incluido,"15,99 €",Incluido,ESP
211864,THE KING OF FIGHTERS XIV ,2024-03-13T09:20:51.821848,PS4,"Acción, Acción, Lucha",Deep Silver,25/8/2016,"Alemán, Español, Francés (Francia), Inglés, Italiano",4.57,6150 calificaciones,76 %,14 %,6 %,1 %,4 %,"19,99 €","5,99 €","19,99 €","5,99 €",ESP
10003683,Mato Anomalies,2024-03-13T09:21:54.574834,"PS4, PS5","Aventura, Juegos de rol",Prime Matter,10/3/2023,"Alemán, Chino (Simplificado), Chino (Tradicional), Español, Francés (Francia), Inglés, Italiano, Japonés",3.86,91 calificaciones,49 %,18 %,14 %,7 %,12 %,"39,99 €","9,99 €","39,99 €","9,99 €",ESP
227871,Edición de recluta estándar de Mass Effect™: Andromeda,2024-03-13T09:21:58.043707,PS4,"Acción, Juegos de rol, Juegos de disparos",EA Swiss Sarl,22/1/2018,"Alemán, Español, Francés (Francia), Inglés, Italiano, Polaco, Ruso",4.27,36283 calificaciones,64 %,16 %,8 %,4 %,7 %,"19,99 €","5,99 €","19,99 €","5,99 €",ESP
203284,One Piece Pirate Warriors 3,2024-03-13T09:22:02.936607,PS4,"Acción, Acción, Aventura",BANDAI NAMCO ENTERTAINMENT EUROPE,27/8/2015,"Alemán, Español, Francés (Francia), Inglés, Italiano",4.71,13589 calificaciones,83 %,11 %,3 %,1 %,2 %,"19,99 €","19,99 €","19,99 €","19,99 €",ESP
10002768,UnMetal,2024-03-13T09:22:08.187906,PS4,Acción,VERSUS EVIL,27/9/2021,"Alemán, Chino (Simplificado), Coreano, Español, Francés (Francia), Inglés, Italiano, Japonés, Portugués (Brasil), Ruso",4.77,360 calificaciones,86 %,9 %,3 %,1 %,1 %,"16,99 €","4,24 €","16,99 €","3,39 €",ESP
10002418,Shredders,2024-03-13T09:22:12.137707,PS5,Deporte,FoamPunch BV,6/12/2022,"Alemán, Chino (Simplificado), Coreano, Español, Francés (Francia), Inglés, Italiano, Japonés, Portugués (Brasil), Ruso",4.06,137 calificaciones,58 %,18 %,5 %,9 %,9 %,"29,99 €","20,99 €","29,99 €","17,99 €",ESP
221750,Rise of the Tomb Raider: 20º aniversario,2024-03-13T09:22:15.417306,PS4,"Acción, Juegos de rol",CRYSTAL DYNAMICS,10/10/2016,"Alemán, Español, Francés (Francia), Inglés, Italiano, Neerlandés, Polaco, Portugués (Brasil), Ruso",4.48,81296 calificaciones,74 %,13 %,6 %,1 %,6 %,"29,99 €",Incluido,"29,99 €",Incluido,ESP
10008018,Journey to Foundation,2024-03-13T09:22:19.128920,PS5,"Aventura, Aventura",ARCHIACT INTERACTIVE LTD,26/10/2023,"Alemán, Chino (Simplificado), Coreano, Español, Francés (Francia), Inglés, Italiano, Japonés, Portugués (Brasil)",3.73,114 calificaciones,39 %,26 %,16 %,8 %,11 %,"37,99 €","37,99 €","37,99 €","37,99 €",ESP
