id_juego,Titulo,Día y hora,Plataforma,Genero,Compañia,Lanzamiento,Idiomas,Calificación PSN,Número de calificaciones,Calificación 5 estrellas,Calificación 4 estrellas,Calificación 3 estrellas,Calificación 2 estrellas,Calificación 1 estrella,Precio original sin PSN,Precio actual sin PSN,Precio original con PSN,Precio actual con PSN,País Store
10007176,EA SPORTS FC™ 24 Standard Edition PS4版 & PS5版,2024-03-11T11:08:38.700320,"PS4, PS5",スポーツ,エレクトロニック・アーツ（株）,2023/9/28,"中国語 (簡体字), 中国語 (繁体字), 日本語, 英語, 韓国語",3.42,"56,028件の評価",45％,12％,10％,5％,28％,"¥13,000","¥5,200","¥13,000","¥5,200",JAP
228748,Fortnite,2024-03-11T11:08:42.531956,PS5,"アクション, アドベンチャー",EPIC GAMES,2017/7/21,"アラビア語, イタリア語, スペイン語, スペイン語(メキシコ), トルコ語, ドイツ語, フランス語 (フランス), ポルトガル語 (ブラジル), ポーランド語, ロシア語, 日本語, 英語, 韓国語",4.32,"6,709,497件の評価",71％,10％,8％,1％,10％,無料,無料,無料,無料,JAP
10000657,HELLDIVERS™ 2,2024-03-11T11:08:45.754114,PS5,アクション,ソニー・インタラクティブエンタテインメント,2024/2/8,"日本語, 英語",4.47,"41,403件の評価",80％,7％,2％,2％,9％,"¥4,480","¥4,480","¥4,480","¥4,480",JAP
10007978,『WWE 2K24』両世代機対応デジタル エディション,2024-03-11T11:08:49.297345,"PS4, PS5",スポーツ,Take-Two,2024/3/7,No hay información,4.72,"1,192件の評価",87％,6％,3％,1％,3％,"¥8,800","¥8,800","¥8,800","¥8,800",JAP
10001130,Call of Duty®: Modern Warfare® III - クロスジェンバンドル,2024-03-11T11:08:53.255885,"PS4, PS5",アクション,"Activision Publishing, Inc.",2023/11/2,No hay información,4.04,"291,463件の評価",62％,11％,11％,2％,14％,"¥9,800","¥9,800","¥9,800","¥9,800",JAP
10007788,PS5™版『NBA 2K24』コービー・ブライアント エディション (通常版),2024-03-11T11:08:57.179688,PS5,スポーツ,Take-Two,2023/9/7,"イタリア語, スペイン語, ドイツ語, フランス語 (フランス), 中国語 (簡体字), 中国語 (繁体字), 日本語, 英語, 韓国語",3.17,"19,179件の評価",36％,14％,12％,8％,31％,"¥8,800","¥8,800","¥8,800","¥8,800",JAP
201930,GTAオンライン (PlayStation®5),2024-03-11T11:09:00.845433,PS5,"アクション, アドベンチャー",Take-Two Interactive Japan GK,2022/3/14,"日本語, 英語",4.52,"677,561件の評価",79％,8％,5％,1％,7％,"¥2,475","¥2,475","¥2,475","¥2,475",JAP
10003999,FINAL FANTASY VII REBIRTH,2024-03-11T11:09:04.098467,PS5,RPG,(株)スクウェア・エニックス,2024/2/28,"イタリア語, スペイン語, スペイン語(メキシコ), ドイツ語, フランス語 (フランス), ポルトガル語 (ブラジル), 日本語, 英語",4.8,"18,969件の評価",93％,2％,2％,1％,3％,"¥9,878","¥9,878","¥9,878","¥9,878",JAP
10002427,eFootball™ 2024,2024-03-11T11:09:08.373071,PS5,スポーツ,(株)コナミデジタルエンタテインメント,2021/9/30,"日本語, 英語",3.75,"267,491件の評価",53％,12％,12％,3％,20％,無料,無料,無料,無料,JAP
203715,ロケットリーグ®,2024-03-11T11:09:11.489749,PS4,"スポーツ, アクション, ドライビング／レース",Psyonix LLC,2020/9/23,"イタリア語, オランダ語, スペイン語, トルコ語, ドイツ語, フランス語 (フランス), ポルトガル語 (ポルトガル), ポーランド語, ロシア語, 日本語, 英語, 韓国語",4.37,"1,094,270件の評価",71％,12％,8％,1％,8％,無料,無料,無料,無料,JAP
10005844,Dragon's Dogma 2,2024-03-11T11:09:14.332523,PS5,"アクション, RPG",(株)カプコン,2024/3/21,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,"¥8,990","¥8,990","¥8,990","¥8,990",JAP
