id_juego,Titulo,Día y hora,Plataforma,Genero,Compañia,Lanzamiento,Idiomas,Calificación PSN,Número de calificaciones,Calificación 5 estrellas,Calificación 4 estrellas,Calificación 3 estrellas,Calificación 2 estrellas,Calificación 1 estrella,Precio original sin PSN,Precio actual sin PSN,Precio original con PSN,Precio actual con PSN,País Store
10007176,EA SPORTS FC™ 24 Standard Edition PS4版 & PS5版,2024-03-29T21:11:07.506099,"PS4, PS5",スポーツ,エレクトロニック・アーツ（株）,2023/9/28,"中国語 (簡体字), 中国語 (繁体字), 日本語, 英語, 韓国語",3.41,62034件の評価,45％,12％,10％,6％,28％,"¥9,700","¥9,700","¥9,700","¥9,700",JAP
228748,Fortnite,2024-03-29T21:11:11.767331,PS5,"アクション, アドベンチャー",EPIC GAMES,2017/7/21,"アラビア語, イタリア語, スペイン語, スペイン語(メキシコ), トルコ語, ドイツ語, フランス語 (フランス), ポルトガル語 (ブラジル), ポーランド語, ロシア語, 日本語, 英語, 韓国語",4.32,6751194件の評価,71％,10％,8％,1％,10％,無料,無料,無料,無料,JAP
10005844,Dragon's Dogma 2,2024-03-29T21:11:17.724342,PS5,"アクション, RPG",(株)カプコン,2024/3/21,"アラビア語, イタリア語, スペイン語, スペイン語(メキシコ), ドイツ語, フランス語 (フランス), ポルトガル語 (ブラジル), ロシア語, 日本語, 英語",4.13,12141件の評価,69％,8％,4％,4％,15％,"¥8,990","¥8,990","¥8,990","¥8,990",JAP
10007788,PS5™版『NBA 2K24』コービー・ブライアント エディション (通常版),2024-03-29T21:11:21.536572,PS5,スポーツ,Take-Two,2023/9/7,"イタリア語, スペイン語, ドイツ語, フランス語 (フランス), 中国語 (簡体字), 中国語 (繁体字), 日本語, 英語, 韓国語",3.1,23231件の評価,35％,13％,12％,8％,33％,"¥8,800","¥2,200","¥8,800",含まれます,JAP
10003386,Rise of the Ronin™,2024-03-29T21:11:25.177588,PS5,"アクション, アドベンチャー",ソニー・インタラクティブエンタテインメント,2024/3/21,"日本語, 英語",4.32,5330件の評価,70％,13％,4％,3％,9％,"¥8,980","¥8,980","¥8,980","¥8,980",JAP
10001130,Call of Duty®: Modern Warfare® III - クロスジェンバンドル,2024-03-29T21:11:29.637376,"PS4, PS5",アクション,"Activision Publishing, Inc.",2023/11/2,No hay información,4.04,300730件の評価,62％,11％,12％,2％,14％,"¥9,800","¥5,880","¥9,800","¥5,880",JAP
201930,GTAオンライン (PlayStation®5),2024-03-29T21:11:33.274543,PS5,"アクション, アドベンチャー",Take-Two Interactive Japan GK,2022/3/14,"日本語, 英語",4.52,680972件の評価,79％,8％,5％,1％,7％,"¥4,950","¥2,475","¥4,950","¥2,475",JAP
10000657,HELLDIVERS™ 2,2024-03-29T21:11:36.527530,PS5,アクション,ソニー・インタラクティブエンタテインメント,2024/2/8,"日本語, 英語",4.5,53088件の評価,81％,7％,2％,1％,8％,"¥4,480","¥4,480","¥4,480","¥4,480",JAP
10002427,eFootball™ 2024,2024-03-29T21:11:40.170424,PS5,スポーツ,(株)コナミデジタルエンタテインメント,2021/9/30,"日本語, 英語",3.75,274216件の評価,53％,12％,12％,3％,20％,無料,無料,無料,無料,JAP
10005275,崩壊：スターレイル,2024-03-29T21:11:44.144623,PS5,"アドベンチャー, RPG",COGNOSPHERE PTE. LTD.,2023/10/10,"スペイン語(メキシコ), ドイツ語, フランス語 (フランス), ポルトガル語 (ブラジル), ロシア語, 中国語 (簡体字), 中国語 (繁体字), 日本語, 英語, 韓国語",4.59,14859件の評価,83％,8％,2％,1％,6％,無料,無料,無料,無料,JAP
