id_juego,Titulo,Día y hora,Plataforma,Genero,Compañia,Lanzamiento,Idiomas,Calificación PSN,Número de calificaciones,Calificación 5 estrellas,Calificación 4 estrellas,Calificación 3 estrellas,Calificación 2 estrellas,Calificación 1 estrella,Precio original sin PSN,Precio actual sin PSN,Precio original con PSN,Precio actual con PSN,País Store
10007176,EA SPORTS FC™ 24 Standard Edition PS4 & PS5,2024-03-24T23:13:31.818300,"PS4, PS5",Sport,Electronic Arts Inc,9/29/2023,"English, French (France), Spanish (Mexico)",3.41,60471 ratings,45%,12%,10%,6%,28%,$69.99,$13.99,$69.99,$13.99,USA
10005844,Dragon's Dogma 2,2024-03-24T23:13:33.395111,PS5,"Action, Role Playing Games","Capcom U.S.A., Inc.",3/22/2024,"Arabic, English, French (France), German, Italian, Japanese, Portuguese (Brazil), Russian, Spanish, Spanish (Mexico)",4.18,8036 ratings,72%,7%,4%,3%,15%,$69.99,$69.99,$69.99,$69.99,USA
228748,Fortnite,2024-03-24T23:13:34.784333,PS5,"Action, Adventure",Epic Games,7/21/2017,"Arabic, English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Russian, Spanish, Spanish (Mexico), Turkish",4.32,6739323 ratings,71%,10%,8%,1%,10%,Free,Free,Free,Free,USA
10003386,Rise of the Ronin™,2024-03-24T23:13:36.376535,PS5,"Action, Adventure",Sony Interactive Entertainment,3/22/2024,"English, French (France), Japanese, Portuguese (Brazil), Spanish (Mexico)",4.3,3272 ratings,69%,14%,4%,3%,9%,$69.99,$69.99,$69.99,$69.99,USA
10000657,HELLDIVERS™ 2,2024-03-24T23:13:37.760726,PS5,Action,Sony Interactive Entertainment,2/8/2024,"English, French (France), Portuguese (Brazil), Spanish (Mexico)",4.49,50340 ratings,81%,7%,2%,2%,9%,$39.99,$39.99,$39.99,$39.99,USA
10007788,NBA 2K24 Kobe Bryant Edition for PS5™,2024-03-24T23:13:42.868979,PS5,Sport,2K,9/8/2023,"Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Spanish",3.12,21868 ratings,36%,13%,12%,8%,32%,$69.99,Included,$69.99,Included,USA
10001130,Call of Duty®: Modern Warfare® III - Cross-Gen Bundle,2024-03-24T23:13:46.800252,"PS4, PS5",Action,Activision,11/2/2023,"English, French (France), Portuguese (Brazil), Spanish (Mexico)",4.04,297950 ratings,62%,11%,11%,2%,14%,$69.99,$69.99,$69.99,$69.99,USA
201930,Grand Theft Auto Online (PlayStation®5),2024-03-24T23:13:49.704379,PS5,"Action, Adventure",Rockstar Games,3/15/2022,"Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Korean, Polish, Portuguese (Brazil), Russian, Spanish, Spanish (Mexico)",4.52,680085 ratings,79%,8%,5%,1%,7%,$19.99,$19.99,$19.99,$19.99,USA
10002427,eFootball™ 2024,2024-03-24T23:13:54.326516,PS5,Sport,"Konami Digital Entertainment, Inc.",9/30/2021,"English, French (France), Portuguese (Brazil), Spanish (Mexico)",3.75,272562 ratings,53%,12%,12%,3%,20%,Free,Free,Free,Free,USA
10007978,WWE 2K24 Cross-Gen Digital Edition,2024-03-24T23:13:58.134359,"PS4, PS5",Sport,2K,3/8/2024,No hay información,4.63,2167 ratings,83%,8%,3%,1%,5%,$69.99,$69.99,$69.99,$69.99,USA
203897,Tom Clancy's Rainbow Six® Siege Deluxe Edition,2024-03-24T23:14:03.573559,"PS4, PS5","Action, Shooter",Ubisoft Entertainment,3/12/2024,No hay información,4.34,259602 ratings,73%,10%,5%,2%,11%,$39.99,$5.99,$39.99,$5.99,USA
