id_juego,Titulo,Día y hora,Plataforma,Genero,Compañia,Lanzamiento,Idiomas,Calificación PSN,Número de calificaciones,Calificación 5 estrellas,Calificación 4 estrellas,Calificación 3 estrellas,Calificación 2 estrellas,Calificación 1 estrella,Precio original sin PSN,Precio actual sin PSN,Precio original con PSN,Precio actual con PSN
233031,GreedFall - Standard Edition,2024-03-04T13:53:41.382379,"PS4, PS5",Juegos de rol,Focus Entertainment,29/6/2021,"Alemán, Chino (Simplificado), Español, Francés (Francia), Inglés, Italiano, Polaco, Portugués (Brasil), Ruso",3.81,10.849 calificaciones,50 %,18 %,9 %,7 %,16 %,"34,99 €","34,99 €","34,99 €","34,99 €"
234406,Commandos 2 - HD Remaster,2024-03-04T13:53:42.855654,PS4,Estrategia,KALYPSO MEDIA,17/9/2020,"Alemán, Chino (Simplificado), Chino (Tradicional), Coreano, Español, Francés (Francia), Inglés, Italiano, Polaco, Ruso",3.63,446 calificaciones,52 %,13 %,7 %,6 %,24 %,"19,99 €","19,99 €","19,99 €","19,99 €"
229840,Surviving Mars,2024-03-04T13:53:44.528095,PS4,"Simulación, Estrategia, Estrategia",PARADOX INTERACTIVE AB,14/3/2018,"Alemán, Español (México), Francés (Francia), Inglés, Polaco, Portugués (Brasil), Ruso",4.21,2.664 calificaciones,64 %,17 %,6 %,4 %,10 %,"29,99 €",Incluido,"29,99 €",Incluido
10005896,Persona 5 Tactica PS4 & PS5,2024-03-04T13:53:46.224358,"PS4, PS5",Estrategia,SEGA EUROPE LTD,16/11/2023,"Alemán, Español, Francés (Francia), Inglés, Italiano, Polaco, Portugués (Brasil), Ruso, Turco",4.33,582 calificaciones,66 %,15 %,8 %,5 %,5 %,"59,99 €","59,99 €","59,99 €","59,99 €"
10008922,As Dusk Falls PS4™ & PS5™,2024-03-04T13:53:47.928406,"PS4, PS5",Aventura,INTERIOR NIGHT LIMITED,7/3/2024,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,"29,99 €","26,99 €","29,99 €","26,99 €"
234921,SWORD ART ONLINE Alicization Lycoris,2024-03-04T13:53:49.904675,PS4,Juegos de rol,BANDAI NAMCO ENTERTAINMENT EUROPE,9/7/2020,"Alemán, Español, Francés (Francia), Inglés, Italiano, Ruso",4.15,5.014 calificaciones,69 %,8 %,5 %,4 %,14 %,"109,99 €","27,49 €","109,99 €","27,49 €"
10005565,Among Us VR,2024-03-04T13:53:51.493862,PS5,Grupo,Innersloth LLC,4/12/2023,"Alemán, Chino (Simplificado), Chino (Tradicional), Coreano, Español, Francés (Francia), Inglés, Italiano, Japonés",4.05,351 calificaciones,62 %,12 %,9 %,2 %,15 %,"9,99 €","9,99 €","9,99 €","9,99 €"
233095,13 Sentinels: Aegis Rim,2024-03-04T13:53:53.076029,PS4,"Aventura, Simulación, Únicos",SEGA EUROPE LTD,21/9/2020,"Alemán, Español, Francés (Francia), Inglés, Italiano",4.86,9.370 calificaciones,92 %,5 %,2 %,1 %,1 %,"59,99 €","17,99 €","59,99 €",Incluido
10003945,Call of the Wild: The Angler™ - Deluxe Edition,2024-03-04T13:53:54.881111,"PS4, PS5",Simulación,Expansive Worlds AB,30/8/2023,"Alemán, Chino (Simplificado), Español, Francés (Francia), Inglés, Japonés, Polaco, Ruso",4.11,623 calificaciones,60 %,18 %,7 %,3 %,12 %,"44,99 €","44,99 €","44,99 €","44,99 €"
10002601,Orcs Must Die! 3 PS4 & PS5,2024-03-04T13:53:57.790453,"PS4, PS5","Acción, Puzzle",ROBOT GAMES,7/6/2022,"Alemán, Checo, Chino (Simplificado), Coreano, Danés, Español, Finlandés, Francés (Francia), Inglés, Italiano, Japonés, Noruego, Polaco, Portugués (Brasil), Portugués (Portugal), Ruso, Sueco, Turco, Árabe",4.37,519 calificaciones,71 %,14 %,4 %,2 %,9 %,"35,99 €","10,79 €","35,99 €","10,79 €"
10007566,PlateUp!,2024-03-04T13:53:59.828536,"PS4, PS5",Casual,YOGSCAST LTD,14/2/2024,No hay información,4.66,134 calificaciones,86 %,6 %,2 %,0 %,6 %,"19,99 €","19,99 €","19,99 €","19,99 €"
10001837,The Dark Pictures Anthology: House of Ashes PS4 & PS5,2024-03-04T13:54:01.664499,"PS4, PS5","Aventura, Terror",BANDAI NAMCO ENTERTAINMENT EUROPE,21/10/2021,No hay información,4.31,4.535 calificaciones,65 %,18 %,7 %,2 %,8 %,"29,99 €","14,99 €","29,99 €","14,99 €"
10008945,A Little to the Left,2024-03-04T13:54:03.966785,"PS4, PS5",Puzzle,Secret Mode Limited,15/2/2024,"Alemán, Chino (Simplificado), Chino (Tradicional), Coreano, Español, Francés (Francia), Inglés, Italiano, Japonés, Polaco, Turco",4.69,26 calificaciones,81 %,12 %,4 %,4 %,0 %,"14,99 €","14,99 €","14,99 €","14,99 €"
202024,Homefront®: The Revolution,2024-03-04T13:54:06.176582,PS4,"Acción, Juegos de disparos, Juegos de disparos",Deep Silver,19/5/2016,"Alemán, Español, Francés (Francia), Inglés, Polaco, Ruso",3.97,12.194 calificaciones,58 %,14 %,10 %,4 %,14 %,"19,99 €","1,99 €","19,99 €","1,99 €"
10002179,Potion Permit,2024-03-04T13:54:08.030002,"PS4, PS5",Juegos de rol,PQube Ltd,21/9/2022,"Alemán, Chino (Simplificado), Coreano, Español, Francés (Francia), Inglés, Japonés, Portugués (Portugal), Ruso",4.27,290 calificaciones,55 %,27 %,10 %,5 %,3 %,"19,99 €","12,99 €","19,99 €","12,99 €"
10007246,Agatha Christie - Hercule Poirot: The London Case,2024-03-04T13:54:11.067370,"PS4, PS5",Aventura,Microids,28/8/2023,"Alemán, Checo, Chino (Simplificado), Chino (Tradicional), Coreano, Español, Francés (Francia), Inglés, Italiano, Japonés, Polaco, Portugués (Brasil), Ruso",3.48,56 calificaciones,27 %,27 %,27 %,7 %,13 %,"39,99 €","39,99 €","39,99 €","39,99 €"
228689,Citadel: Forged with Fire,2024-03-04T13:54:12.826031,PS4,"Acción, Aventura, Acción",BLUE ISLE STUDIOS INC.,31/10/2019,"Alemán, Español, Francés (Francia), Inglés, Italiano",3.69,742 calificaciones,50 %,16 %,8 %,7 %,19 %,"39,99 €","39,99 €","39,99 €","39,99 €"
10000300,Cobra Kai: The Karate Kid Saga Continues,2024-03-04T13:54:15.318352,PS4,"Acción, Aventura, Lucha",GAMEMILL ENTERTAINMENT,26/10/2020,"Alemán, Español, Francés (Francia), Inglés, Italiano",4.25,550 calificaciones,66 %,15 %,5 %,3 %,10 %,"39,99 €","39,99 €","39,99 €","39,99 €"
201611,Fort Defense Bundle,2024-03-04T13:54:17.123513,PS4,Estrategia,4HIT LTD,3/10/2018,"Alemán, Español, Francés (Francia), Inglés, Italiano, Ruso",4.02,852 calificaciones,46 %,31 %,11 %,4 %,8 %,"7,99 €","7,99 €","7,99 €","7,99 €"
10005429,Garfield Lasagna Party - PS5,2024-03-04T13:54:19.318359,"PS4, PS5",Grupo,Microids,10/11/2022,"Alemán, Checo, Chino (Simplificado), Chino (Tradicional), Coreano, Español, Francés (Francia), Inglés, Italiano, Japonés, Neerlandés, Polaco, Ruso",4.07,28 calificaciones,68 %,7 %,4 %,7 %,14 %,"39,99 €","39,99 €","39,99 €","39,99 €"
10009210,Killer Klowns from Outer Space: The Game,2024-03-04T13:54:20.843809,PS5,"Acción, Terror",IllFonic Inc.,28/5/2024,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,"39,99 €","39,99 €","39,99 €","39,99 €"
10004427,MORDHAU,2024-03-04T13:54:22.476254,PS5,"Acción, Lucha",Triternion,11/7/2023,"Alemán, Español, Francés (Francia), Inglés, Italiano",3.91,183 calificaciones,58 %,14 %,7 %,5 %,16 %,"39,99 €","39,99 €","39,99 €","39,99 €"
10003238,Pathfinder: Wrath of the Righteous,2024-03-04T13:54:24.605559,PS4,Juegos de rol,Postmeta Games Limited,28/9/2022,"Alemán, Chino (Simplificado), Español, Francés (Francia), Inglés, Ruso",4.25,664 calificaciones,66 %,17 %,3 %,3 %,11 %,"39,99 €","39,99 €","39,99 €","39,99 €"
10007831,Prison Architect 2,2024-03-04T13:54:26.506010,PS5,"Acción, Aventura, Estrategia",PARADOX INTERACTIVE AB,7/5/2024,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,"39,99 €","39,99 €","39,99 €","39,99 €"
10000431,Puyo Puyo™ Tetris® 2 PS4 & PS5,2024-03-04T13:54:28.427766,"PS4, PS5",Familia,SEGA EUROPE LTD,7/12/2020,"Alemán, Español, Francés (Francia), Inglés, Italiano",4.29,292 calificaciones,67 %,12 %,11 %,3 %,7 %,"39,99 €","39,99 €","39,99 €","39,99 €"
