id_juego,Titulo,Día y hora,Plataforma,Genero,Compañia,Lanzamiento,Idiomas,Calificación PSN,Número de calificaciones,Calificación 5 estrellas,Calificación 4 estrellas,Calificación 3 estrellas,Calificación 2 estrellas,Calificación 1 estrella,Precio original sin PSN,Precio actual sin PSN,Precio original con PSN,Precio actual con PSN,País Store
10007176,EA SPORTS FC™ 24 Standard Edition PS4版 & PS5版,2024-03-26T00:07:54.604758,"PS4, PS5",スポーツ,エレクトロニック・アーツ（株）,2023/9/28,"中国語 (簡体字), 中国語 (繁体字), 日本語, 英語, 韓国語",3.41,60829件の評価,45％,12％,10％,6％,28％,"¥9,700","¥1,940","¥9,700","¥1,940",JAP
10005844,Dragon's Dogma 2,2024-03-26T00:07:57.742804,PS5,"アクション, RPG",(株)カプコン,2024/3/21,"アラビア語, イタリア語, スペイン語, スペイン語(メキシコ), ドイツ語, フランス語 (フランス), ポルトガル語 (ブラジル), ロシア語, 日本語, 英語",4.17,9135件の評価,71％,7％,4％,3％,15％,"¥8,990","¥8,990","¥8,990","¥8,990",JAP
228748,Fortnite,2024-03-26T00:08:01.358315,PS5,"アクション, アドベンチャー",EPIC GAMES,2017/7/21,"アラビア語, イタリア語, スペイン語, スペイン語(メキシコ), トルコ語, ドイツ語, フランス語 (フランス), ポルトガル語 (ブラジル), ポーランド語, ロシア語, 日本語, 英語, 韓国語",4.32,6741137件の評価,71％,10％,8％,1％,10％,無料,無料,無料,無料,JAP
10003386,Rise of the Ronin™,2024-03-26T00:08:03.940601,PS5,"アクション, アドベンチャー",ソニー・インタラクティブエンタテインメント,2024/3/21,"日本語, 英語",4.32,3796件の評価,70％,14％,4％,3％,9％,"¥8,980","¥8,980","¥8,980","¥8,980",JAP
10007788,PS5™版『NBA 2K24』コービー・ブライアント エディション (通常版),2024-03-26T00:08:07.612782,PS5,スポーツ,Take-Two,2023/9/7,"イタリア語, スペイン語, ドイツ語, フランス語 (フランス), 中国語 (簡体字), 中国語 (繁体字), 日本語, 英語, 韓国語",3.12,22112件の評価,35％,13％,12％,8％,32％,"¥8,800",含まれます,"¥8,800",含まれます,JAP
10000657,HELLDIVERS™ 2,2024-03-26T00:08:11.052363,PS5,アクション,ソニー・インタラクティブエンタテインメント,2024/2/8,"日本語, 英語",4.49,50885件の評価,81％,7％,2％,2％,9％,"¥4,480","¥4,480","¥4,480","¥4,480",JAP
10001130,No hay información,2024-03-26T00:09:14.260957,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,JAP
201930,GTAオンライン (PlayStation®5),2024-03-26T00:09:18.006747,PS5,"アクション, アドベンチャー",Take-Two Interactive Japan GK,2022/3/14,"日本語, 英語",4.52,680242件の評価,79％,8％,5％,1％,7％,"¥2,475","¥2,475","¥2,475","¥2,475",JAP
10002427,eFootball™ 2024,2024-03-26T00:09:20.995103,PS5,スポーツ,(株)コナミデジタルエンタテインメント,2021/9/30,"日本語, 英語",3.75,272896件の評価,53％,12％,12％,3％,20％,"¥2,200","¥1,320","¥2,200","¥1,320",JAP
203897,『レインボーシックス シージ』デラックスエディション,2024-03-26T00:09:24.529861,"PS4, PS5","アクション, シューティング",ユービーアイソフト(株),2024/3/12,No hay información,4.34,259645件の評価,73％,10％,5％,2％,11％,"¥3,960",¥198,"¥3,960",¥198,JAP
10002313,ザ・クルー：モーターフェス スタンダードエディション - Cross-Genバンドル,2024-03-26T00:09:28.007024,"PS4, PS5",ドライビング／レース,ユービーアイソフト(株),2023/9/11,"中国語 (簡体字), 中国語 (繁体字), 日本語, 英語, 韓国語",4.28,17801件の評価,69％,13％,6％,2％,10％,"¥9,790","¥4,895","¥9,790","¥4,895",JAP
209441,レッド・デッド・リデンプション2,2024-03-26T00:09:31.183490,PS4,"アクション, アドベンチャー, その他",Rockstar Games,2018/10/25,No hay información,4.71,230351件の評価,88％,5％,2％,1％,4％,"¥6,555","¥2,163","¥6,555","¥2,163",JAP
10007978,『WWE 2K24』両世代機対応デジタル エディション,2024-03-26T00:09:34.735708,"PS4, PS5",スポーツ,Take-Two,2024/3/7,No hay información,4.62,2216件の評価,83％,8％,3％,1％,5％,"¥8,800","¥8,800","¥8,800","¥8,800",JAP
232352,エーペックスレジェンズ‎ PS5™,2024-03-26T00:09:39.071359,PS5,"アクション, シューティング",エレクトロニック・アーツ（株）,2022/2/8,"アラビア語, イタリア語, スペイン語, ドイツ語, フランス語 (フランス), ポルトガル語 (ブラジル), ポーランド語, ロシア語, 中国語 (簡体字), 中国語 (繁体字), 日本語, 英語, 韓国語",4.13,760458件の評価,65％,12％,8％,2％,13％,無料,無料,無料,無料,JAP
212779,Minecraft,2024-03-26T00:10:13.123599,PS4,アドベンチャー,Mojang AB/日本マイクロソフト,2019/12/9,"イタリア語, ウクライナ語, オランダ語, ギリシャ語, スウェーデン語, スペイン語, スペイン語(メキシコ), スロベニア語, チェコ語, デンマーク語, トルコ語, ドイツ語, ノルウェー語, ハンガリー語, フィンランド語, フランス語 (カナダ), フランス語 (フランス), ブルガリア語, ポルトガル語 (ブラジル), ポルトガル語 (ポルトガル), ポーランド語, ロシア語, 中国語 (簡体字), 中国語 (繁体字), 日本語, 英語, 韓国語",4.32,1560928件の評価,72％,9％,7％,1％,11％,"¥2,640","¥2,640","¥2,640","¥2,640",JAP
10000896,原神,2024-03-26T00:10:16.690222,"PS4, PS5","アクション, アドベンチャー, RPG",COGNOSPHERE PTE. LTD.,2021/4/27,"イタリア語, スペイン語, タイ語, トルコ語, ドイツ語, フランス語 (フランス), ベトナム語, ポルトガル語 (ポルトガル), ロシア語, 中国語 (簡体字), 中国語 (繁体字), 日本語, 英語, 韓国語",4.42,326495件の評価,76％,9％,5％,1％,9％,無料,無料,無料,無料,JAP
223118,Roblox,2024-03-26T00:10:19.694169,PS4,その他,Roblox合同会社,2023/10/10,"イタリア語, スペイン語, ドイツ語, フランス語 (フランス), ポルトガル語 (ブラジル), 中国語 (簡体字), 中国語 (繁体字), 日本語, 英語, 韓国語",4.24,261627件の評価,68％,9％,11％,1％,10％,無料,無料,無料,無料,JAP
10000333,ELDEN RING PS4 & PS5,2024-03-26T00:10:23.187664,"PS4, PS5",RPG,(株)フロム・ソフトウェア,2022/2/24,日本語,4.72,64754件の評価,89％,4％,1％,1％,5％,"¥9,240","¥9,240","¥9,240","¥9,240",JAP
10003999,FINAL FANTASY VII REBIRTH,2024-03-26T00:10:26.894153,PS5,RPG,(株)スクウェア・エニックス,2024/2/28,"イタリア語, スペイン語, スペイン語(メキシコ), ドイツ語, フランス語 (フランス), ポルトガル語 (ブラジル), 日本語, 英語",4.76,24645件の評価,91％,2％,2％,1％,4％,"¥9,878","¥9,878","¥9,878","¥9,878",JAP
10002788,UFC™ 5,2024-03-26T00:10:30.793907,PS5,格闘,エレクトロニック・アーツ（株）,2023/10/26,"イタリア語, スペイン語, スペイン語(メキシコ), ドイツ語, フランス語 (フランス), ポルトガル語 (ブラジル), 中国語 (簡体字), 中国語 (繁体字), 日本語, 英語, 韓国語",3.01,6569件の評価,30％,16％,12％,9％,34％,"¥9,700","¥5,820","¥9,700","¥5,820",JAP
10007460,バルダーズ・ゲート3,2024-03-26T00:10:33.629976,PS5,RPG,株式会社スパイク・チュンソフト,2023/12/20,"日本語, 英語",4.82,43430件の評価,92％,3％,1％,1％,3％,"¥8,580","¥8,580","¥8,580","¥8,580",JAP
10008651,MLB® The Show™ 24（英語版）PS5®,2024-03-26T00:10:37.253795,"PS4, PS5",スポーツ,SONY INTERACTIVE ENTERTAINMENT,2024/3/19,英語,4.23,455件の評価,73％,6％,5％,3％,13％,"¥7,980","¥7,980","¥7,980","¥7,980",JAP
10000956,グランツーリスモ７,2024-03-26T00:10:40.567415,"PS4, PS5",ドライビング／レース,株式会社ソニー・インタラクティブエンタテインメント,2022/3/3,"日本語, 英語",4.35,17909件の評価,71％,13％,5％,2％,9％,"¥8,690","¥8,690","¥8,690","¥8,690",JAP
