id_juego,Titulo,Día y hora,Plataforma,Genero,Compañia,Lanzamiento,Idiomas,Calificación PSN,Número de calificaciones,Calificación 5 estrellas,Calificación 4 estrellas,Calificación 3 estrellas,Calificación 2 estrellas,Calificación 1 estrella,Precio original sin PSN,Precio actual sin PSN,Precio original con PSN,Precio actual con PSN
234658,Plants vs. Zombies™: La Batalla de Neighborville,2024-03-01 09:43:52.238877,['PS4'],"['Shooter', 'Shooter']",EA Swiss Sarl,2019-10-17,"Alemán, Chino (Simplificado), Chino (Tradicional), Coreano, Español, Español (México), Francés (Francia), Inglés, Italiano, Japonés, Neerlandés, Polaco, Portugués (Brasil), Ruso, Árabe",4.22,30547,67,13,6,2,12,29.99,0.02,29.99,0.02
234422,Blasphemous,2024-03-01 09:43:53.800711,['PS4'],"['Acción', 'Aventura', 'Rol']",Team 17 Digital LTD,2019-09-09,"Alemán, Chino (Simplificado), Coreano, Español, Francés (Francia), Inglés, Italiano, Japonés, Portugués (Brasil), Ruso",4.65,7854,81,12,2,2,3,24.99,0.02,24.99,0.02
10003187,Steelrising,2024-03-01 09:43:56.572001,['PS5'],['Rol'],NACON SA,2022-09-08,"Alemán, Chino (Simplificado), Chino (Tradicional), Coreano, Español, Francés (Francia), Inglés, Italiano, Japonés, Polaco, Portugués (Portugal), Ruso, Árabe",2.94,4516,26,17,14,11,32,59.99,11.99,59.99,0.02
221672,Call of Duty®: Infinite Warfare,2024-03-01 09:43:58.184468,['PS4'],"['Shooter', 'Shooter']",Activision Blizzard Int'l BV,2016-11-03,"Español, Italiano",3.84,280162,59,9,8,2,21,69.99,69.99,69.99,69.99
10004206,Sky: Children of the Light,2024-03-01 09:44:00.461069,['PS4'],"['Aventura', 'Rol']","thatgamecompany, Inc.",2022-12-06,"Alemán, Chino (Simplificado), Chino (Tradicional), Coreano, Español, Francés (Francia), Inglés, Italiano, Japonés, Portugués (Portugal), Ruso, Vietnamita",4.46,7164,76,10,5,2,7,0.0,0.0,0.00,0.0
232883,Subnautica,2024-03-01 09:44:02.126180,"['PS4', 'PS5']",['Aventura'],"UNKNOWN WORLDS ENTERTAINMNT, INC.",2021-05-13,No hay información,4.54,67995,78,11,5,1,5,29.99,29.99,29.99,29.99
10006942,"Warhammer 40,000: Chaos Gate - Daemonhunters PS4 & PS5",2024-03-01 09:44:03.641071,"['PS4', 'PS5']","['Rol', 'Estrategia']",FRONTIER DEVELOPMENTS PLC,2024-02-20,"Alemán, Chino (Simplificado), Chino (Tradicional), Coreano, Español, Francés (Francia), Inglés, Italiano, Japonés, Polaco, Portugués (Brasil), Ruso",4.61,111,84,5,5,1,5,44.99,44.99,44.99,44.99
10004192,The Dark Pictures Anthology: The Devil in Me PS4™ & PS5™,2024-03-01 09:44:05.062349,"['PS4', 'PS5']","['Terror', 'Aventura']",BANDAI NAMCO ENTERTAINMENT EUROPE,2022-11-18,No hay información,4.1,2004,59,17,10,4,10,0.0,0.0,0.00,0.0
10002255,A Plague Tale: Requiem,2024-03-01 09:44:06.886905,['PS5'],['Aventura'],Focus Entertainment,2022-10-17,"Alemán, Checo, Chino (Simplificado), Chino (Tradicional), Coreano, Español, Español (México), Francés (Francia), Inglés, Italiano, Japonés, Polaco, Portugués (Brasil), Ruso, Ucraniano",4.55,12250,78,11,4,2,5,59.99,29.99,,29.99
10000453,Guilty Gear -Strive- PS4 & PS5,2024-03-01 09:44:08.488639,"['PS4', 'PS5']",['Lucha'],BANDAI NAMCO ENTERTAINMENT EUROPE,2021-06-10,"Alemán, Español, Francés (Francia), Inglés, Italiano",4.59,4578,83,7,3,1,6,39.99,39.99,39.99,39.99
10003139,The Lord of the Rings: Gollum™,2024-03-01 09:44:10.019487,"['PS4', 'PS5']",['Aventura'],NACON SA,2023-05-25,"Alemán, Chino (Simplificado), Chino (Tradicional), Coreano, Español, Francés (Francia), Inglés, Italiano, Japonés, Polaco, Portugués (Brasil), Ruso, Turco",2.28,606,22,5,9,9,56,59.99,11.99,,11.99
10000771,Minecraft Legends,2024-03-01 09:44:12.013329,"['PS4', 'PS5']","['Acción', 'Estrategia']",Mojang AB,2023-04-18,No hay información,4.03,641,62,12,7,5,14,39.99,39.99,39.99,39.99
10005732,Cities: Skylines - Remastered,2024-03-01 09:44:13.747621,"['PS4', 'PS5']",['Simulación'],PARADOX INTERACTIVE AB,2023-02-15,No hay información,4.6,788,74,18,4,1,3,39.99,5.99,39.99,5.99
231919,Bus Simulator,2024-03-01 09:44:15.170728,['PS4'],"['Simulación', 'Simulador']",ASTRAGON ENTERTAINMENT GMBH,2019-09-16,"Alemán, Checo, Chino (Simplificado), Coreano, Español, Francés (Francia), Inglés, Italiano, Japonés, Polaco, Portugués (Brasil), Ruso, Turco",4.09,5157,61,15,8,3,12,39.99,39.99,39.99,39.99
212864,Need for Speed™,2024-03-01 09:44:16.913620,['PS4'],"['Conducción', 'Carreras']",EA Swiss Sarl,2015-11-02,"Alemán, Español, Francés (Francia), Inglés, Italiano, Polaco, Ruso",4.2,85705,65,15,7,3,10,19.99,0.02,19.99,0.02
10002921,Chernobylite,2024-03-01 09:44:18.481167,['PS5'],['Terror'],THE FARM 51 GROUP SA,2022-04-21,"Alemán, Chino (Simplificado), Español, Francés (Francia), Inglés, Italiano, Japonés, Polaco, Ruso",3.99,1122,55,20,8,4,13,29.99,11.99,29.99,10.49
10003986,Teenage Mutant Ninja Turtles: Shredder's Revenge,2024-03-01 09:44:19.786872,['PS5'],['Acción'],DOTEMU,2022-11-15,"Alemán, Español, Francés (Francia), Inglés, Italiano, Japonés, Portugués (Brasil)",4.66,6400,79,13,5,1,2,24.99,0.02,24.99,0.02
10002585,STRANGER OF PARADISE FINAL FANTASY ORIGIN PS4 & PS5,2024-03-01 09:44:21.511694,"['PS4', 'PS5']",['Acción'],Square Enix LTD,2022-03-14,"Alemán, Español, Francés (Francia), Inglés, Italiano, Japonés",3.99,3510,54,18,10,5,11,49.99,29.99,49.99,0.02
232115,RESIDENT EVIL 5,2024-03-01 09:44:23.007267,['PS4'],"['Acción', 'Terror']",CE EUROPE LIMITED,2016-06-27,"Alemán, Español, Francés (Francia), Inglés, Italiano",4.62,24654,78,14,4,1,3,19.99,4.99,,4.99
215282,Borderlands: The Handsome Collection,2024-03-01 09:44:24.336725,['PS4'],"['Shooter', 'Shooter']",2K,2015-03-26,"Alemán, Español, Francés (Francia), Inglés, Italiano",4.62,66658,81,10,3,1,5,39.99,39.99,39.99,39.99
10002357,MY HERO ULTRA RUMBLE,2024-03-01 09:44:25.888191,['PS4'],"['Lucha', 'Acción']",BANDAI NAMCO ENTERTAINMENT EUROPE,2023-09-28,"Alemán, Español, Francés (Francia), Inglés, Italiano",4.34,23969,71,11,7,2,9,0.0,0.0,0.00,0.0
233592,Tom Clancy’s Rainbow Six® Extraction PS4 & PS5,2024-03-01 09:44:27.421541,"['PS4', 'PS5']",['Únicos'],UBISOFT ENTERTAINMENT SA,2022-01-19,"Alemán, Español, Francés (Francia), Inglés, Italiano, Polaco, Portugués (Brasil)",4.14,23907,63,13,11,2,11,49.99,9.99,49.99,0.02
229261,Rec Room,2024-03-01 09:44:29.215437,['PS5'],"['Deporte', 'Únicos']",AGAINST GRAVITY CORP,2021-12-09,Inglés,4.15,201319,64,12,10,2,12,0.0,0.0,0.00,0.0
234665,Marvel's Guardians of the Galaxy para PS4 y PS5,2024-03-01 09:44:30.876482,"['PS4', 'PS5']",['Acción'],Eidos Interactive Corp,2021-10-25,No hay información,4.58,13425,75,17,4,1,3,69.99,0.02,69.99,0.02
10004309,HUMANKIND™ PS4 & PS5,2024-03-01 09:44:32.555531,"['PS4', 'PS5']","['Estrategia', 'Simulación']",SEGA EUROPE LTD,2023-08-22,"Alemán, Español, Francés (Francia), Inglés, Italiano, Polaco, Portugués (Brasil), Ruso, Turco",3.59,277,39,25,10,7,19,59.99,38.99,,38.99
235108,Sherlock Holmes Chapter One,2024-03-01 09:44:34.247162,"['PS4', 'PS5']","['Acción', 'Aventura']",FROGWARES IRELAND LTD,2021-11-15,"Alemán, Checo, Chino (Simplificado), Chino (Tradicional), Coreano, Español, Francés (Francia), Inglés, Italiano, Japonés, Polaco, Portugués (Brasil), Ruso, Turco, Ucraniano, Árabe",4.25,661,61,21,8,3,7,59.99,11.99,,11.99
231035,PAYDAY 2: CRIMEWAVE EDITION.,2024-03-01 09:44:37.125278,['PS4'],"['Acción', 'Arcade', 'Shooter']",505 GAMES S.R.L.,2015-06-11,"Alemán, Español, Francés (Francia), Inglés, Italiano",4.32,34911,70,13,5,2,10,19.99,0.02,19.99,0.02
10004133,RimWorld Console Edition,2024-03-01 09:44:38.594362,['PS4'],['Simulación'],Double Eleven Limited,2022-07-28,"Alemán, Chino (Simplificado), Chino (Tradicional), Coreano, Español, Francés (Francia), Inglés, Italiano, Japonés, Neerlandés, Portugués (Brasil), Ruso",4.74,580,86,8,3,1,3,39.99,39.99,39.99,39.99
221765,STEEP ,2024-03-01 09:44:40.126623,['PS4'],['Deporte'],UBISOFT ENTERTAINMENT SA,2016-12-01,"Alemán, Chino (Simplificado), Chino (Tradicional), Español, Francés (Francia), Inglés, Italiano, Neerlandés, Polaco, Portugués (Brasil)",4.1,39339,63,13,7,3,14,19.99,19.99,19.99,19.99
228797,Ni no Kuni™ II: Revenant Kingdom,2024-03-01 09:44:41.879891,['PS4'],['Rol'],BANDAI NAMCO ENTERTAINMENT EUROPE,2018-03-22,"Alemán, Español, Francés (Francia), Inglés, Italiano, Ruso",4.66,7727,81,11,4,2,2,69.99,9.79,,9.79
10003777,Autobahn Police Simulator 3,2024-03-01 09:44:43.222191,['PS5'],"['Conducción', 'Carreras', 'Simulador']",AEROSOFT GMBH,2022-06-22,"Alemán, Chino (Simplificado), Español, Francés (Francia), Inglés, Italiano, Portugués (Portugal), Ruso, Turco",2.3,707,23,5,7,10,56,29.99,29.99,29.99,29.99
