id_juego,Titulo,Día y hora,Plataforma,Genero,Compañia,Lanzamiento,Idiomas,Calificación PSN,Número de calificaciones,Calificación 5 estrellas,Calificación 4 estrellas,Calificación 3 estrellas,Calificación 2 estrellas,Calificación 1 estrella,Precio original sin PSN,Precio actual sin PSN,Precio original con PSN,Precio actual con PSN
10007176,EA SPORTS FC™ 24 Standard Edition para PS4 y PS5,2024-02-27T12:13:37.028432,"PS4, PS5",Deporte,EA Swiss Sarl,28/9/2023,No hay información,3.44,53.865 calificaciones,46 %,12 %,10 %,5 %,27 %,"79,99 €","79,99 €","79,99 €","79,99 €"
228748,Fortnite,2024-02-27T12:13:38.357957,PS5,"Acción, Aventura",EPIC GAMES,21/7/2017,"Alemán, Coreano, Español, Español (México), Francés (Francia), Inglés, Italiano, Japonés, Polaco, Portugués (Brasil), Ruso, Turco, Árabe",4.32,6.653.647 calificaciones,71 %,10 %,8 %,1 %,10 %,Gratis,Gratis,Gratis,Gratis
10000657,HELLDIVERS™ 2,2024-02-27T12:13:39.742946,PS5,Acción,Sony Interactive Entertainment Europe,8/2/2024,"Alemán, Español, Francés (Francia), Inglés, Italiano, Polaco, Portugués (Portugal), Ruso",4.4,28.925 calificaciones,78 %,7 %,2 %,2 %,11 %,"39,99 €","39,99 €","39,99 €","39,99 €"
10003999,FINAL FANTASY VII REBIRTH,2024-02-27T12:13:41.133137,PS5,Juegos de rol,Square Enix LTD,28/2/2024,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,"79,99 €","79,99 €","79,99 €","79,99 €"
10007788,Edición Kobe Bryant de NBA 2K24 para PS5™,2024-02-27T12:13:42.779750,PS5,Deporte,2K,7/9/2023,"Alemán, Chino (Simplificado), Chino (Tradicional), Coreano, Español, Francés (Francia), Inglés, Italiano, Japonés",3.19,18.222 calificaciones,37 %,14 %,12 %,8 %,30 %,"99,99 €","34,99 €",,"34,99 €"
10001130,Call of Duty®: Modern Warfare® III - Lote Multigeneración,2024-02-27T12:13:44.275104,"PS4, PS5",Acción,Activision Blizzard Int'l BV,2/11/2023,"Alemán, Español, Francés (Francia), Inglés, Italiano, Polaco, Ruso",4.04,284.633 calificaciones,62 %,11 %,11 %,2 %,14 %,"109,99 €","87,99 €",,"87,99 €"
10002788,UFC™ 5,2024-02-27T12:13:45.665215,PS5,Lucha,EA Swiss Sarl,26/10/2023,"Alemán, Chino (Simplificado), Chino (Tradicional), Coreano, Español, Español (México), Francés (Francia), Inglés, Italiano, Japonés, Portugués (Brasil)",3.01,5.852 calificaciones,30 %,16 %,12 %,9 %,33 %,"79,99 €","47,99 €",,"47,99 €"
201930,Grand Theft Auto Online (PlayStation®5),2024-02-27T12:13:47.006820,PS5,"Acción, Aventura",Rockstar Games,14/3/2022,"Alemán, Chino (Simplificado), Chino (Tradicional), Coreano, Español, Español (México), Francés (Francia), Inglés, Italiano, Polaco, Portugués (Brasil), Ruso",4.52,675.131 calificaciones,79 %,8 %,5 %,1 %,7 %,"19,99 €","9,99 €",,"9,99 €"
10000333,ELDEN RING PS4 & PS5,2024-02-27T12:13:48.318209,"PS4, PS5",Juegos de rol,BANDAI NAMCO ENTERTAINMENT EUROPE,24/2/2022,"Alemán, Español, Francés (Francia), Inglés, Italiano, Polaco, Ruso",4.71,60.517 calificaciones,89 %,4 %,1 %,1 %,5 %,"59,99 €","59,99 €","59,99 €","59,99 €"
10002427,eFootball™ 2024,2024-02-27T12:13:49.677815,PS5,Deporte,Konami,30/9/2021,"Alemán, Español, Francés (Francia), Griego, Inglés, Italiano, Neerlandés, Portugués (Portugal), Ruso, Sueco, Turco, Árabe",3.75,262.955 calificaciones,53 %,12 %,12 %,3 %,20 %,Gratis,Gratis,Gratis,Gratis
