id_juego,Titulo,Día y hora,Plataforma,Genero,Compañia,Lanzamiento,Idiomas,Calificación PSN,Número de calificaciones,Calificación 5 estrellas,Calificación 4 estrellas,Calificación 3 estrellas,Calificación 2 estrellas,Calificación 1 estrella,Precio original sin PSN,Promo_1,Promo_2,Promo_3,Etiqueta Precios,País Store
10005709,Monument Journey,2024-04-02T12:37:04.164386,PS5,アドベンチャー,Klovako s. r. o.,2022/8/14,英語,3.9,51件の評価,65％,8％,4％,0％,24％,¥275,¥275,No hay información,No dispone de promoción extra,"['ゲーム本編', False, 'No hay información', 'No hay información']",JAP
10005791,Monument Journey: Nitro,2024-04-02T12:37:05.436387,PS5,アドベンチャー,Klovako s. r. o.,2022/8/26,英語,4.21,29件の評価,76％,3％,3％,0％,17％,¥275,¥275,No hay información,No dispone de promoción extra,"['ゲーム本編', False, 'No hay información', 'No hay información']",JAP
10004746,Quick Mafs Advanced,2024-04-02T12:37:06.831910,PS5,教育,Webnetic s. r. o.,2022/8/18,"チェコ語, ドイツ語, 英語",3.96,77件の評価,62％,9％,8％,4％,17％,¥220,¥220,No hay información,No dispone de promoción extra,"['ゲーム本編', False, 'No hay información', 'No hay información']",JAP
10005706,Rainbow Mix Advanced,2024-04-02T12:37:08.098898,PS5,脳トレ,Webnetic s. r. o.,2022/8/31,英語,4.06,50件の評価,66％,10％,4％,4％,16％,¥275,¥275,No hay información,No dispone de promoción extra,"['ゲーム本編', False, 'No hay información', 'No hay información']",JAP
10005814,Shapeu,2024-04-02T12:37:09.411919,PS5,脳トレ,Webnetic s. r. o.,2022/9/3,英語,4.03,40件の評価,70％,3％,5％,5％,18％,¥275,¥275,No hay información,No dispone de promoción extra,"['ゲーム本編', False, 'No hay información', 'No hay información']",JAP
10005708,Snow Journey,2024-04-02T12:37:10.657767,PS5,アクション,Klovako s. r. o.,2022/8/14,英語,3.48,156件の評価,55％,7％,3％,1％,34％,¥275,¥275,No hay información,No dispone de promoción extra,"['ゲーム本編', False, 'No hay información', 'No hay información']",JAP
10005790,Snow Journey: Nitro,2024-04-02T12:37:11.907795,PS5,アドベンチャー,Klovako s. r. o.,2022/8/23,英語,4.22,45件の評価,73％,9％,0％,2％,16％,¥275,¥275,No hay información,No dispone de promoción extra,"['ゲーム本編', False, 'No hay información', 'No hay información']",JAP
10006347,Speed Journey,2024-04-02T12:37:13.238911,PS5,アドベンチャー,Klovako s. r. o.,2022/12/20,英語,4.08,37件の評価,68％,11％,3％,0％,19％,¥220,¥220,No hay información,No dispone de promoción extra,"['ゲーム本編', False, 'No hay información', 'No hay información']",JAP
10005931,The Baseball T,2024-04-02T12:37:14.587823,PS5,アドベンチャー,Webnetic s. r. o.,2022/9/24,英語,3.54,52件の評価,58％,4％,6％,0％,33％,¥275,¥275,No hay información,No dispone de promoción extra,"['ゲーム本編', False, 'No hay información', 'No hay información']",JAP
10005589,The Bear B,2024-04-02T12:37:15.910760,PS5,アドベンチャー,Webnetic s. r. o.,2022/9/8,英語,3.91,81件の評価,65％,2％,9％,5％,19％,¥275,¥275,No hay información,No dispone de promoción extra,"['ゲーム本編', False, 'No hay información', 'No hay información']",JAP
10005821,The Chicken Quiz,2024-04-02T12:37:17.222510,PS5,クイズ,Webnetic s. r. o.,2022/9/10,英語,4.24,45件の評価,73％,7％,4％,2％,13％,¥275,¥275,No hay información,No dispone de promoción extra,"['ゲーム本編', False, 'No hay información', 'No hay información']",JAP
10004743,The Cow G,2024-04-02T12:37:18.443443,PS5,シミュレーション,Webnetic s. r. o.,2022/9/1,英語,4.11,143件の評価,71％,3％,8％,3％,15％,¥275,¥275,No hay información,No dispone de promoción extra,"['ゲーム本編', False, 'No hay información', 'No hay información']",JAP
10005828,The Football A,2024-04-02T12:37:19.890353,PS5,アドベンチャー,Webnetic s. r. o.,2022/9/14,英語,3.71,63件の評価,65％,3％,0％,2％,30％,¥275,¥275,No hay información,No dispone de promoción extra,"['ゲーム本編', False, 'No hay información', 'No hay información']",JAP
10005612,The Football T,2024-04-02T12:37:21.161749,PS5,脳トレ,Webnetic s. r. o.,2022/9/19,英語,3.63,72件の評価,58％,4％,7％,3％,28％,¥275,¥275,No hay información,No dispone de promoción extra,"['ゲーム本編', False, 'No hay información', 'No hay información']",JAP
10005811,The Penguin P,2024-04-02T12:37:22.517630,PS5,アドベンチャー,Webnetic s. r. o.,2022/9/7,英語,4.11,46件の評価,72％,7％,2％,0％,20％,¥275,¥275,No hay información,No dispone de promoción extra,"['ゲーム本編', False, 'No hay información', 'No hay información']",JAP
10006498,The Pig D Deluxe Edition,2024-04-02T12:37:23.882514,PS5,アクション,Webnetic s. r. o.,2022/12/1,英語,4.02,63件の評価,62％,6％,14％,6％,11％,¥220,¥220,No hay información,No dispone de promoción extra,"['ゲーム本編', False, 'No hay información', 'No hay información']",JAP
10005695,The Pig Quiz,2024-04-02T12:37:25.288772,PS5,クイズ,Webnetic s. r. o.,2022/9/26,英語,4.07,56件の評価,71％,4％,5％,0％,20％,¥275,¥275,No hay información,No dispone de promoción extra,"['ゲーム本編', False, 'No hay información', 'No hay información']",JAP
10005068,The Pigeon P,2024-04-02T12:37:26.523029,PS5,シミュレーション,Webnetic s. r. o.,2022/9/5,英語,3.98,136件の評価,66％,5％,7％,3％,18％,¥275,¥275,No hay información,No dispone de promoción extra,"['ゲーム本編', False, 'No hay información', 'No hay información']",JAP
10006118,The Pigeon Quiz,2024-04-02T12:37:28.723536,PS5,クイズ,Webnetic s. r. o.,2022/10/5,英語,4.2,41件の評価,73％,5％,5％,2％,15％,¥220,¥220,No hay información,No dispone de promoción extra,"['ゲーム本編', False, 'No hay información', 'No hay información']",JAP
10005929,The Shark T,2024-04-02T12:37:30.101265,PS5,カジュアル,Webnetic s. r. o.,2022/9/17,英語,3.56,75件の評価,55％,5％,11％,0％,29％,¥275,¥275,No hay información,No dispone de promoción extra,"['ゲーム本編', False, 'No hay información', 'No hay información']",JAP
10005697,The Sheep Quiz,2024-04-02T12:37:31.394213,PS5,クイズ,Webnetic s. r. o.,2022/9/29,英語,4.1,51件の評価,69％,8％,4％,4％,16％,¥275,¥275,No hay información,No dispone de promoción extra,"['ゲーム本編', False, 'No hay información', 'No hay información']",JAP
10006499,The Spidy Quiz,2024-04-02T12:37:34.812728,PS5,クイズ,Webnetic s. r. o.,2022/12/28,英語,4.12,52件の評価,71％,6％,2％,6％,15％,¥220,¥220,No hay información,No dispone de promoción extra,"['ゲーム本編', False, 'No hay información', 'No hay información']",JAP
10005616,The Tiger T,2024-04-02T12:37:36.085406,PS5,カジュアル,Webnetic s. r. o.,2022/9/22,英語,3.83,77件の評価,62％,4％,9％,4％,21％,¥275,¥275,No hay información,No dispone de promoción extra,"['ゲーム本編', False, 'No hay información', 'No hay información']",JAP
10005741,The Volleyball B,2024-04-02T12:37:37.541606,PS5,脳トレ,Webnetic s. r. o.,2022/8/27,英語,3.3,61件の評価,54％,3％,2％,0％,41％,¥275,¥275,No hay información,No dispone de promoción extra,"['ゲーム本編', False, 'No hay información', 'No hay información']",JAP
10005603,Weben Blocks 2,2024-04-02T12:37:38.850582,PS5,脳トレ,Webnetic s. r. o.,2022/9/15,英語,4.09,46件の評価,65％,9％,11％,0％,15％,¥275,¥275,No hay información,No dispone de promoción extra,"['ゲーム本編', False, 'No hay información', 'No hay información']",JAP
10007545,Dashing Orange,2024-04-02T12:37:40.087948,"PS4, PS5",アクション,JANDUSOFT S.L.,2023/3/30,英語,3.83,12件の評価,67％,0％,8％,0％,25％,¥550,¥550,No hay información,No dispone de promoción extra,"['ゲーム本編', False, 'No hay información', 'No hay información']",JAP
10008242,City Limits,2024-04-02T12:37:41.537793,"PS4, PS5",ストラテジー,JANDUSOFT S.L.,2023/7/6,英語,4.25,4件の評価,50％,25％,25％,0％,0％,¥550,¥550,No hay información,No dispone de promoción extra,"['ゲーム本編', False, 'No hay información', 'No hay información']",JAP
10003136,スターメロディー ユメミドリーマー 第１話～第３話,2024-04-02T12:37:43.043612,PS4,"アドベンチャー, リズムアクション",株式会社工画堂スタジオ,2021/11/12,日本語,4.3,20件の評価,65％,20％,5％,0％,10％,¥550,¥550,No hay información,No dispone de promoción extra,"['ゲーム本編', False, 'No hay información', 'No hay información']",JAP
