id_juego,Titulo,Día y hora,Plataforma,Genero,Compañia,Lanzamiento,Idiomas,Calificación PSN,Número de calificaciones,Calificación 5 estrellas,Calificación 4 estrellas,Calificación 3 estrellas,Calificación 2 estrellas,Calificación 1 estrella,Precio original,Oferta,Oferta PSPlus,Otra promo diferente a PSPLUS,País Store
10009181,マニタス・キッチン,2024-05-21T12:39:33.174353,PS5,"カジュアル, その他",Entalto Games SL,2024/2/9,"カタルーニャ語, スペイン語, 英語",2,5件の評価,20％,0％,0％,20％,60％,"¥1,980","¥1,980",No hay información,No hay otra promoción,JAP
229968,Manifest 99,2024-05-21T12:39:34.334844,PS4,アドベンチャー,Flight School Studio,2018/3/12,No hay información,3.87,306件の評価,43％,24％,17％,8％,8％,¥672,¥672,No hay información,No hay otra promoción,JAP
10002573,ママにゲーム隠された2,2024-05-21T12:39:35.482300,PS4,アドベンチャー,ハップ,2021/4/27,"イタリア語, スペイン語, ドイツ語, フランス語 (フランス), 中国語 (簡体字), 中国語 (繁体字), 日本語, 英語",4.24,78件の評価,64％,17％,8％,3％,9％,¥500,¥500,No hay información,No hay otra promoción,JAP
10004719,マミーピンボール,2024-05-21T12:39:36.936178,PS5,アーケード,"STARSIGN, INC.",2022/6/22,日本語,3.57,44件の評価,43％,16％,14％,9％,18％,¥330,¥330,No hay información,No hay otra promoción,JAP
232219,マヨナカ・ガラン,2024-05-21T12:39:38.096280,PS4,アドベンチャー,株式会社ソニー・ミュージックエンタテインメント,2018/10/4,No hay información,3.99,110件の評価,47％,26％,13％,5％,8％,"¥1,222","¥1,222",No hay información,No hay otra promoción,JAP
10004581,マリンエクスプレス殺人事件,2024-05-21T12:39:39.335291,"PS4, PS5",アドベンチャー,Rainy Frog Co. Ltd,2022/8/31,"スペイン語, フランス語 (フランス), 日本語, 英語",3.27,75件の評価,32％,17％,15％,17％,19％,¥499,¥499,No hay información,No hay otra promoción,JAP
10002238,マルくんの旅　～出会いと別れの物語～,2024-05-21T12:39:40.457546,PS4,"アクション, アドベンチャー",Rainy Frog Co. Ltd,2021/4/14,"日本語, 英語",3.51,67件の評価,48％,12％,9％,6％,25％,¥800,¥800,No hay información,No hay otra promoción,JAP
10003943,【Multiverse】マルチバース：次元を超えた冒険,2024-05-21T12:39:41.830810,PS5,"アドベンチャー, パズル",株式会社Beep Japan,2022/7/20,日本語,4.15,27件の評価,63％,11％,11％,7％,7％,"¥1,870","¥1,870",No hay información,No hay otra promoción,JAP
227307,マルディタカスティーラ-ドン・ラミロと呪われた大地-,2024-05-21T12:39:43.098090,PS4,アクション,フライハイワークス株式会社,2016/12/16,No hay información,4.45,442件の評価,71％,17％,4％,3％,5％,"¥1,222","¥1,222",No hay información,No hay otra promoción,JAP
10007154,Mangavania,2024-05-21T12:39:44.407591,PS5,アクション,EVGENIY KOLPAKOV,2023/4/25,"スペイン語, フランス語 (フランス), ポルトガル語 (ポルトガル), 英語",3.84,25件の評価,52％,20％,4％,8％,16％,¥660,¥660,No hay información,No hay otra promoción,JAP
209622,マンティス・バーン・レーシング,2024-05-21T12:39:45.577144,PS4,ドライビング／レース,フライハイワークス株式会社,2018/6/28,No hay información,3.98,636件の評価,48％,27％,11％,4％,10％,"¥2,037","¥2,037",No hay información,No hay otra promoción,JAP
10001308,Mundaun,2024-05-21T12:39:46.901714,PS5,"アドベンチャー, ホラー",Annapurna Interactive,2023/6/29,"イタリア語, スペイン語, スペイン語(メキシコ), トルコ語, ドイツ語, フランス語 (フランス), ポルトガル語 (ブラジル), ポルトガル語 (ポルトガル), ポーランド語, ロシア語, 中国語 (簡体字), 中国語 (繁体字), 日本語, 英語, 韓国語",4.58,263件の評価,75％,17％,4％,0％,4％,"¥2,750","¥2,750",No hay información,No hay otra promoción,JAP
233013,Mars: Chaos Menace,2024-05-21T12:39:48.028729,PS4,"アーケード, アクション, シューティング",Eastasiasoft Limited,2020/4/29,No hay información,2.98,57件の評価,35％,12％,5％,11％,37％,"¥1,000","¥1,000",No hay información,No hay otra promoción,JAP
202969,Mercenary Kings (マーセナリーキングス),2024-05-21T12:39:49.205211,PS4,アクション,Tribute Games,2017/1/26,No hay información,3.71,41650件の評価,43％,21％,14％,8％,14％,"¥2,016","¥2,016",No hay información,No hay otra promoción,JAP
202950,MURDERED 魂の呼ぶ声,2024-05-21T12:39:50.528755,PS4,アクション,(株)スクウェア・エニックス,2014/7/16,No hay información,4.2,11349件の評価,53％,26％,13％,4％,4％,"¥7,480","¥7,480",No hay información,No hay otra promoción,JAP
10002393,マールク：ダークデーモン,2024-05-21T12:39:51.798801,PS4,アーケード,Eastasiasoft Limited,2021/5/27,"中国語 (繁体字), 日本語, 英語",3.63,46件の評価,39％,17％,26％,2％,15％,"¥1,000","¥1,000",No hay información,No hay otra promoción,JAP
231842,見鏡澄香の制服活動(PS4®版),2024-05-21T12:39:53.010388,PS4,アドベンチャー,株式会社エンターグラム,2018/5/23,No hay información,4.53,45件の評価,71％,13％,13％,2％,0％,"¥2,016","¥2,016",No hay información,No hay otra promoción,JAP
214995,巫女学校物語～楓編,2024-05-21T12:39:55.297530,PS4,アドベンチャー,メディアスケープ株式会社,2016/10/20,No hay información,3.81,132件の評価,51％,15％,12％,8％,14％,"¥1,100","¥1,100",No hay información,No hay otra promoción,JAP
228790,Mr. Shifty,2024-05-21T12:39:56.619620,PS4,アクション,tinyBuild,2017/8/4,No hay información,4.1,129件の評価,59％,17％,9％,6％,9％,"¥1,507","¥1,507",No hay información,No hay otra promoción,JAP
10001016,ミスター・クーのいろいろ PS4 & PS5,2024-05-21T12:39:57.859288,"PS4, PS5",アドベンチャー,Meridiem Games S.L,2023/9/6,"アラビア語, イタリア語, オランダ語, ギリシャ語, スウェーデン語, スペイン語, スペイン語(メキシコ), タイ語, チェコ語, デンマーク語, トルコ語, ドイツ語, ノルウェー語, ハンガリー語, フィンランド語, フランス語 (カナダ), フランス語 (フランス), ベトナム語, ポルトガル語 (ブラジル), ポルトガル語 (ポルトガル), ポーランド語, ルーマニア語, ロシア語, 中国語 (簡体字), 中国語 (繁体字), 日本語, 英語, 韓国語",4.32,96件の評価,64％,20％,8％,2％,6％,"¥2,970","¥2,970",No hay información,No hay otra promoción,JAP
229165,ミストラリアの魔術師,2024-05-21T12:39:59.174403,PS4,"アクション, アドベンチャー, アクション","H2 INTERACTIVE Co., Ltd.",2018/10/17,No hay información,4.44,295件の評価,66％,20％,8％,2％,3％,"¥2,526","¥2,526",No hay información,No hay otra promoción,JAP
233889,ミツバチ シミュレーター,2024-05-21T12:40:00.297388,PS4,"アドベンチャー, ファミリー, シミュレーション",株式会社オーイズミ・アミュージオ,2020/4/22,No hay información,3.51,1663件の評価,46％,13％,12％,7％,23％,"¥5,980","¥5,980",含まれます,No hay otra promoción,JAP
234861,Minute of Islands（ミニッツ・オブ・アイランド）,2024-05-21T12:40:01.591947,PS4,その他,"H2 INTERACTIVE Co., Ltd.",2021/7/28,"イタリア語, スペイン語, ドイツ語, フランス語 (フランス), 中国語 (簡体字), 中国語 (繁体字), 日本語, 英語, 韓国語",4.3,80件の評価,59％,24％,10％,4％,4％,"¥2,050","¥2,050",No hay información,No hay otra promoción,JAP
229816,Minit,2024-05-21T12:40:02.791544,PS4,アドベンチャー,"DEVOLVER DIGITAL, INC.",2018/8/9,No hay información,4.32,796件の評価,61％,22％,8％,3％,6％,"¥1,019","¥1,019",No hay información,No hay otra promoción,JAP
235131,Mini Motor Racing X,2024-05-21T12:40:03.995490,PS4,ドライビング／レース,The Binary Mill,2019/12/24,No hay información,4.38,278件の評価,68％,17％,6％,3％,6％,"¥2,800","¥2,800",No hay información,No hay otra promoción,JAP
10003456,A Musical Story PS4 & PS5,2024-05-21T12:40:05.371551,"PS4, PS5",リズムアクション,Eastasiasoft Limited,2023/4/26,"イタリア語, スペイン語, トルコ語, ドイツ語, フィンランド語, フランス語 (フランス), ポルトガル語 (ブラジル), ポルトガル語 (ポルトガル), ポーランド語, ロシア語, 中国語 (簡体字), 中国語 (繁体字), 日本語, 英語, 韓国語",4.55,38件の評価,71％,16％,11％,3％,0％,"¥1,599","¥1,599",No hay información,No hay otra promoción,JAP
