id_juego,Titulo,Día y hora,Plataforma,Genero,Compañia,Lanzamiento,Idiomas,Calificación PSN,Número de calificaciones,Calificación 5 estrellas,Calificación 4 estrellas,Calificación 3 estrellas,Calificación 2 estrellas,Calificación 1 estrella,Precio original,Oferta,Oferta PSPlus,Otra promo diferente a PSPLUS,País Store
10000896,原神,2024-04-05T09:24:35.923742,"PS4, PS5","アクション, アドベンチャー, RPG",COGNOSPHERE PTE. LTD.,2021/4/27,"イタリア語, スペイン語, タイ語, トルコ語, ドイツ語, フランス語 (フランス), ベトナム語, ポルトガル語 (ポルトガル), ロシア語, 中国語 (簡体字), 中国語 (繁体字), 日本語, 英語, 韓国語",4.41,328416件の評価,76％,9％,5％,1％,9％,無料,無料,No hay información,No hay otra promoción,JAP
10005275,崩壊：スターレイル,2024-04-05T09:24:37.618013,PS5,"アドベンチャー, RPG",COGNOSPHERE PTE. LTD.,2023/10/10,"スペイン語(メキシコ), ドイツ語, フランス語 (フランス), ポルトガル語 (ブラジル), ロシア語, 中国語 (簡体字), 中国語 (繁体字), 日本語, 英語, 韓国語",4.59,15414件の評価,83％,8％,2％,1％,6％,無料,無料,No hay información,No hay otra promoción,JAP
232352,エーペックスレジェンズ‎ PS5™,2024-04-05T09:24:39.222970,PS5,"アクション, シューティング",エレクトロニック・アーツ（株）,2022/2/8,"アラビア語, イタリア語, スペイン語, ドイツ語, フランス語 (フランス), ポルトガル語 (ブラジル), ポーランド語, ロシア語, 中国語 (簡体字), 中国語 (繁体字), 日本語, 英語, 韓国語",4.13,762224件の評価,65％,12％,8％,2％,13％,無料,無料,No hay información,No hay otra promoción,JAP
231363,機動戦士ガンダム　バトルオペレーション２,2024-04-05T09:24:40.760166,PS5,アクション,株式会社バンダイナムコエンターテインメント,2021/1/28,"中国語 (簡体字), 中国語 (繁体字), 日本語, 英語, 韓国語",3.64,55340件の評価,49％,12％,14％,3％,22％,無料,無料,No hay información,No hay otra promoción,JAP
10003386,Rise of the Ronin™,2024-04-05T09:24:42.088291,PS5,"アクション, アドベンチャー",ソニー・インタラクティブエンタテインメント,2024/3/21,"日本語, 英語",4.3,6971件の評価,69％,14％,5％,4％,9％,"¥8,980","¥8,980",No hay información,No hay otra promoción,JAP
10002427,eFootball™ 2024,2024-04-05T09:24:43.586669,PS5,スポーツ,(株)コナミデジタルエンタテインメント,2021/9/30,"日本語, 英語",3.75,276151件の評価,53％,12％,13％,3％,20％,無料,無料,No hay información,No hay otra promoción,JAP
10001130,Call of Duty®: Modern Warfare® III - クロスジェンバンドル,2024-04-05T09:24:45.860979,"PS4, PS5",アクション,"Activision Publishing, Inc.",2023/11/2,No hay información,4.04,305132件の評価,61％,11％,12％,2％,14％,"¥9,800","¥5,880",No hay información,No hay otra promoción,JAP
10007176,EA SPORTS FC™ 24 Standard Edition PS4版 & PS5版,2024-04-05T09:24:47.406219,"PS4, PS5",スポーツ,エレクトロニック・アーツ（株）,2023/9/28,"中国語 (簡体字), 中国語 (繁体字), 日本語, 英語, 韓国語",3.4,63552件の評価,45％,12％,10％,6％,28％,"¥9,700","¥9,700",No hay información,ゲームトライアル,JAP
10005844,Dragon's Dogma 2,2024-04-05T09:24:49.052317,PS5,"アクション, RPG",(株)カプコン,2024/3/21,"アラビア語, イタリア語, スペイン語, スペイン語(メキシコ), ドイツ語, フランス語 (フランス), ポルトガル語 (ブラジル), ロシア語, 日本語, 英語",4.12,15185件の評価,67％,9％,5％,4％,14％,"¥8,990","¥8,990",No hay información,No hay otra promoción,JAP
10006891,Stellar Blade,2024-04-05T09:24:50.452428,PS5,"アクション, アドベンチャー",ソニー・インタラクティブエンタテインメント,2024/4/25,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,"¥8,980","¥8,980",No hay información,No hay otra promoción,JAP
10009426,Winning Post 10 2024 (PS4 & PS5),2024-04-05T09:24:57.782399,"PS4, PS5",シミュレーション,(株)コーエーテクモゲームス,2024/3/27,日本語,4.56,188件の評価,78％,11％,6％,0％,5％,"¥10,780","¥10,780",No hay información,No hay otra promoción,JAP
201579,ファイナルファンタジーXIV - スターターパック,2024-04-05T09:24:59.490749,"PS4, PS5","RPG, RPG, RPG",(株)スクウェア・エニックス,2021/4/27,No hay información,4.5,41801件の評価,79％,9％,3％,1％,8％,"¥2,420","¥2,420",No hay información,No hay otra promoción,JAP
228748,Fortnite,2024-04-05T09:25:01.201690,PS5,"アクション, アドベンチャー",EPIC GAMES,2017/7/21,"アラビア語, イタリア語, スペイン語, スペイン語(メキシコ), トルコ語, ドイツ語, フランス語 (フランス), ポルトガル語 (ブラジル), ポーランド語, ロシア語, 日本語, 英語, 韓国語",4.32,6765513件の評価,71％,10％,8％,1％,10％,無料,無料,No hay información,No hay otra promoción,JAP
203474,PSO2 ニュージェネシス,2024-04-05T09:25:02.847632,PS4,RPG,株式会社セガ,2016/4/19,No hay información,4.27,25003件の評価,70％,11％,7％,2％,11％,無料,無料,No hay información,No hay otra promoción,JAP
10008286,ARK: Survival Ascended,2024-04-05T09:25:04.555191,PS5,"アドベンチャー, RPG",株式会社スパイク・チュンソフト,2024/1/29,"イタリア語, スペイン語, ドイツ語, フランス語 (フランス), 中国語 (簡体字), 中国語 (繁体字), 日本語, 英語, 韓国語",4.06,8275件の評価,66％,9％,5％,4％,16％,"¥6,380","¥6,380",No hay información,No hay otra promoción,JAP
10001481,遊戯王 マスターデュエル,2024-04-05T09:25:06.225348,PS5,"ファミリー, ストラテジー",(株)コナミデジタルエンタテインメント,2022/1/19,"イタリア語, スペイン語(メキシコ), ドイツ語, フランス語 (フランス), ポルトガル語 (ブラジル), 中国語 (簡体字), 中国語 (繁体字), 日本語, 英語, 韓国語",4.13,15556件の評価,65％,12％,8％,2％,13％,無料,無料,No hay información,No hay otra promoción,JAP
228785,モンスターハンター：ワールド,2024-04-05T09:25:08.130858,PS4,アクション,(株)カプコン,2018/1/25,"イタリア語, スペイン語, スペイン語(メキシコ), ドイツ語, フランス語 (フランス), 日本語, 英語",4.72,109767件の評価,87％,5％,2％,1％,4％,"¥1,990","¥1,990",No hay información,No hay otra promoción,JAP
10002780,ユニコーンオーバーロード PS4&PS5,2024-04-05T09:25:09.690485,"PS4, PS5",RPG,（株）アトラス,2024/3/7,日本語,4.86,4103件の評価,93％,4％,2％,1％,1％,"¥8,778","¥8,778",No hay información,No hay otra promoción,JAP
