id_juego,Titulo,Día y hora,Plataforma,Genero,Compañia,Lanzamiento,Idiomas,Calificación PSN,Número de calificaciones,Calificación 5 estrellas,Calificación 4 estrellas,Calificación 3 estrellas,Calificación 2 estrellas,Calificación 1 estrella,Precio original,Oferta,Oferta PSPlus,Otra promo diferente a PSPLUS,País Store
216234,Gang Beasts,2024-04-10T09:44:16.509859,PS4,"格闘, アクション, パーティー",BONELOAF LIMITED,2023/10/4,"イタリア語, スペイン語(メキシコ), ドイツ語, ポルトガル語 (ブラジル), 中国語 (簡体字), 中国語 (繁体字), 日本語, 英語, 韓国語",4.25,68352件の評価,70％,11％,6％,2％,12％,"¥2,530","¥1,771",No hay información,No hay otra promoción,JAP
229500,BIOHAZARD RE:2,2024-04-10T09:44:18.121741,"PS4, PS5","アクション, アドベンチャー, ホラー",(株)カプコン,2022/6/13,"アラビア語, イタリア語, スペイン語, スペイン語(メキシコ), タイ語, ドイツ語, フランス語 (フランス), ポルトガル語 (ブラジル), ポーランド語, ロシア語, 日本語, 英語",4.8,70581件の評価,88％,7％,3％,1％,2％,"¥3,990","¥3,990",含まれます,No hay otra promoción,JAP
218800,無双OROCHI3 Ultimate,2024-04-10T09:44:19.936053,PS4,"アクション, アクション",(株)コーエーテクモゲームス,2019/12/18,No hay información,4.57,3307件の評価,78％,11％,5％,2％,4％,"¥8,580","¥8,580",No hay información,No hay otra promoción,JAP
234917,三國志14,2024-04-10T09:44:21.863096,PS4,"シミュレーション, シミュレーター",(株)コーエーテクモゲームス,2020/1/15,No hay información,4.29,858件の評価,70％,11％,6％,2％,10％,"¥9,680","¥9,680",No hay información,No hay otra promoción,JAP
10000899,Overcooked! All You Can Eat,2024-04-10T09:44:23.316073,"PS4, PS5","ファミリー, シミュレーション",Team17 Digital Ltd,2020/11/11,No hay información,4.47,745件の評価,77％,9％,5％,1％,7％,"¥4,180","¥1,672",No hay información,No hay otra promoción,JAP
222022,鉄拳7 Welcome Price!!,2024-04-10T09:44:25.523700,PS4,"格闘, アクション",株式会社バンダイナムコエンターテインメント,2018/9/5,日本語,4.4,34337件の評価,73％,11％,6％,2％,8％,"¥4,400","¥4,400",No hay información,No hay otra promoción,JAP
10003849,Stranded: Alien Dawn,2024-04-10T09:44:27.048007,"PS4, PS5",ストラテジー,Frontier Developments,2023/4/25,"スペイン語, ドイツ語, フランス語 (フランス), ポルトガル語 (ブラジル), ポーランド語, ロシア語, 中国語 (簡体字), 日本語, 英語, 韓国語",4.34,767件の評価,69％,16％,4％,2％,9％,"¥4,840","¥2,904","¥2,420",No hay otra promoción,JAP
10002076,サガ フロンティア リマスター,2024-04-10T09:44:28.837045,PS4,RPG,(株)スクウェア・エニックス,2021/4/14,日本語,4.79,940件の評価,90％,5％,1％,1％,3％,"¥4,800","¥2,400",No hay información,No hay otra promoción,JAP
10000489,英雄伝説 創の軌跡 通常版,2024-04-10T09:44:30.971391,PS4,RPG,日本ファルコム(株),2020/8/26,日本語,4.87,1900件の評価,94％,3％,2％,0％,1％,"¥7,590","¥7,590",含まれます,No hay otra promoción,JAP
235029,龍が如く７　光と闇の行方,2024-04-10T09:44:32.416745,PS4,RPG,株式会社セガ,2020/1/8,No hay información,4.6,4152件の評価,81％,9％,4％,2％,4％,"¥1,430","¥1,430",No hay información,No hay otra promoción,JAP
