id_juego,Titulo,Día y hora,Plataforma,Genero,Compañia,Lanzamiento,Idiomas,Calificación PSN,Número de calificaciones,Calificación 5 estrellas,Calificación 4 estrellas,Calificación 3 estrellas,Calificación 2 estrellas,Calificación 1 estrella,Precio original_es,Oferta_es,Oferta PSPlus_es,Otra promo diferente a PSPLUS_es,País Store,Precio original_jp,Oferta_jp,Oferta PSPlus_jp,Otra promo diferente a PSPLUS_jp,Precio original_us,Oferta_us,Oferta PSPlus_us,Otra promo diferente a PSPLUS_us
229831,"SLICE, DICE & RICE",2024-04-04 12:27:58.368983,PS4," Lucha,Acción",Arc System Works Co,2018-02-14," Chino (Tradicional),Chino (Simplificado), Coreano, Japonés, Inglés",3.97,119,65,17,14,7,14,17.99,17.99,-1.0,-1.0,ESP,1834.0,1834.0,-1.0,-1.0,17.99,17.99,-1.0,-1.0
10009740,SLICK SLACK,2024-04-04 12:27:59.619428,PS4,Puzzle,Xitilon,2023-11-19,Inglés,3.27,51,19,4,9,6,12,0.99,0.99,-1.0,-1.0,ESP,220.0,220.0,-1.0,-1.0,0.99,0.99,-1.0,-1.0
10001196,Slide Stars,2024-04-04 12:28:00.871020,PS4,"Aventura, Conducción/Carreras",LION CASTLE,2020-11-09," Portugués (Brasil), Español, Francés (Francia), Italiano, Ruso,Alemán, Neerlandés, Inglés",3.66,38,17,6,4,1,6,9.99,9.99,-1.0,-1.0,ESP,-1.0,-1.0,-1.0,-1.0,8.99,8.99,-1.0,-1.0
227503,Slime-san: Superslime Edition,2024-04-04 12:28:02.132518,PS4,"Acción, Arcade",HEADUP GAMES,2018-06-26,Inglés,4.1,73,43,11,3,5,7,14.99,14.99,-1.0,-1.0,ESP,1202.0,1202.0,-1.0,-1.0,14.99,14.99,-1.0,-1.0
10005689,Slime's Journey PS4 & PS5,2024-04-04 12:28:03.333918,"PS4, PS5"," Casual,Acción, Aventura",RATALAIKA GAMES SL,2022-11-17,No hay información,4.3,43,28,6,3,2,3,4.99,4.99,-1.0,-1.0,ESP,550.0,550.0,-1.0,-1.0,4.99,4.99,-1.0,-1.0
10003833,Slipstream,2024-04-04 12:28:04.920525,"PS4, PS5",Conducción/Carreras,BLITWORKS SL,2023-12-13," Turco, Portugués (Brasil), Español, Francés (Francia), Polaco, Italiano, Ruso,Alemán, Griego, Neerlandés, Inglés",4.43,110,74,17,11,1,5,8.99,8.99,-1.0,-1.0,ESP,-1.0,-1.0,-1.0,-1.0,9.99,9.99,-1.0,-1.0
232918,Slum Ball,2024-04-04 12:28:06.194204,PS4," Arcade, Acción,Casual",MARINE ELECTRICAL INTERNATIONAL LIMITED,2019-06-10,Inglés,2.56,9,1,1,0,0,5,15.99,15.99,-1.0,-1.0,ESP,-1.0,-1.0,-1.0,-1.0,14.99,14.99,-1.0,-1.0
221789,Small Radios Big Televisions,2024-04-04 12:28:07.399653,PS4,Aventura,ADULT SWIM,2016-11-08,Inglés,3.72,105,39,29,11,14,9,13.29,13.29,-1.0,-1.0,ESP,-1.0,-1.0,-1.0,-1.0,11.99,11.99,-1.0,-1.0
229310,Smash Hit Plunder,2024-04-04 12:28:08.643243,PS4," Únicos,Arcade, Familia",TRIANGULAR PIXELS LTD,2018-10-04," Español, Francés (Francia), Italiano,Alemán, Inglés",4.0,11,4,2,1,0,0,14.99,14.99,-1.0,-1.0,ESP,-1.0,-1.0,-1.0,-1.0,14.99,14.99,-1.0,-1.0
10001374,SMASHING THE BATTLE GHOSTSOUL,2024-04-04 12:28:09.971556,PS4,Acción,PLATINUMROCKET INC.,2021-03-17," Francés (Francia), Coreano, Japonés,Alemán, Inglés",3.85,68,29,17,10,4,6,19.99,19.99,-1.0,-1.0,ESP,1980.0,1980.0,-1.0,-1.0,19.99,19.99,-1.0,-1.0
10000363,Smelter,2024-04-04 12:28:11.242258,"PS4, PS5","Acción, Estrategia, Aventura",DANGEN ENTERTAINMENT,2021-09-01,No hay información,4.05,59,33,11,5,2,5,20.99,10.49,-1.0,-1.0,ESP,-1.0,-1.0,-1.0,-1.0,19.99,9.99,-1.0,-1.0
10003581,Smoots Golf,2024-04-04 12:28:12.832252,"PS4, PS5",Deporte,JANDUSOFT S.L.,2021-11-18,"Catalán, Español, Inglés",3.67,9,5,0,0,0,1,12.99,12.99,-1.0,-1.0,ESP,1000.0,1000.0,-1.0,-1.0,12.99,12.99,-1.0,-1.0
10009032,Smoots Pinball,2024-04-04 12:28:14.986360,"PS4, PS5",Arcade,JANDUSOFT S.L.,2023-11-16,"Catalán, Español, Inglés",3.4,10,2,3,3,1,1,5.99,5.99,-1.0,-1.0,ESP,770.0,770.0,-1.0,-1.0,5.99,5.99,-1.0,-1.0
