id_juego,Titulo,Día y hora,Plataforma,Genero,Compañia,Lanzamiento,Idiomas,Calificación PSN,Número de calificaciones,Calificación 5 estrellas,Calificación 4 estrellas,Calificación 3 estrellas,Calificación 2 estrellas,Calificación 1 estrella,Precio original,Oferta,Oferta PSPlus,Otra promo diferente a PSPLUS,País Store
228748,Fortnite,2024-05-27T13:39:27.374639,PS5,"Action, Adventure",Epic Games,7/21/2017,"Arabic, English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Russian, Spanish, Spanish (Mexico), Turkish",4.32,6865140 ratings,71%,10%,8%,1%,10%,Free,Free,No hay información,No hay otra promoción,USA
10007788,NBA 2K24 Kobe Bryant Edition for PS5™,2024-05-27T13:39:28.594969,PS5,Sport,2K,9/8/2023,"Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Spanish",3.01,32494 ratings,34%,12%,12%,8%,35%,$69.99,$69.99,Included,No hay otra promoción,USA
10001130,Call of Duty®: Modern Warfare® III - Cross-Gen Bundle,2024-05-27T13:39:29.939003,"PS4, PS5",Action,Activision,11/2/2023,"English, French (France), Portuguese (Brazil), Spanish (Mexico)",4.04,330931 ratings,61%,11%,12%,2%,14%,$69.99,$45.49,No hay información,No hay otra promoción,USA
10007176,No hay información,2024-05-27T13:39:31.336498,"PS4, PS5",Sport,Electronic Arts Inc,9/29/2023,"English, French (France), Spanish (Mexico)",No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay otra promoción,USA
10003151,EA SPORTS™ College Football 25 Deluxe Edition,2024-05-27T13:39:38.694175,PS5,Sport,Electronic Arts Inc,7/15/2024,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,$99.99,$99.99,No hay información,$89.99,USA
10006239,Madden NFL 24,2024-05-27T13:39:46.237849,"PS4, PS5",Sport,Electronic Arts Inc,8/18/2023,English,3.16,11754 ratings,36%,13%,12%,8%,31%,$69.99,$12.59,No hay información,Included,USA
10008651,MLB® The Show™ 24 PS5®,2024-05-27T13:39:47.504433,"PS4, PS5",Sport,Sony Interactive Entertainment,3/19/2024,English,3.85,1882 ratings,58%,12%,6%,4%,20%,$69.99,$69.99,Game Trial,No hay otra promoción,USA
201930,Grand Theft Auto Online (PlayStation®5),2024-05-27T13:39:48.726468,PS5,"Action, Adventure",Rockstar Games,3/15/2022,"Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Korean, Polish, Portuguese (Brazil), Russian, Spanish, Spanish (Mexico)",4.52,691190 ratings,79%,8%,5%,1%,7%,$19.99,$19.99,No hay información,No hay otra promoción,USA
10002211,XDefiant,2024-05-27T13:39:49.526547,PS5,Shooter,Ubisoft Entertainment,5/21/2024,"Arabic, Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Russian, Spanish, Spanish (Mexico), Turkish",3.69,18623 ratings,53%,13%,7%,5%,23%,Free,Free,No hay información,No hay otra promoción,USA
221852,Destiny 2 PS4™ & PS5™,2024-05-27T13:39:50.916565,"PS4, PS5","Adventure, Shooter, Action",Bungie,12/8/2020,"Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Russian, Spanish, Spanish (Mexico)",4.28,292220 ratings,70%,11%,6%,2%,11%,Free,Free,No hay información,No hay otra promoción,USA
