id_juego,Titulo,Día y hora,Plataforma,Genero,Compañia,Lanzamiento,Idiomas,Calificación PSN,Número de calificaciones,Calificación 5 estrellas,Calificación 4 estrellas,Calificación 3 estrellas,Calificación 2 estrellas,Calificación 1 estrella,Precio original,Oferta,Oferta PSPlus,Otra promo diferente a PSPLUS,País Store
228748,Fortnite,2024-05-21T10:41:49.813753,PS5,"Action, Adventure",Epic Games,7/21/2017,"Arabic, English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Russian, Spanish, Spanish (Mexico), Turkish",4.32,6850381 ratings,71%,10%,8%,1%,10%,Free,Free,No hay información,No hay otra promoción,USA
10003151,EA SPORTS™ College Football 25 Deluxe Edition,2024-05-21T10:41:50.935732,PS5,Sport,Electronic Arts Inc,7/15/2024,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,$99.99,$99.99,No hay información,$89.99,USA
10007788,NBA 2K24 Kobe Bryant Edition for PS5™,2024-05-21T10:41:58.116866,PS5,Sport,2K,9/8/2023,"Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Spanish",3.02,31787 ratings,34%,12%,12%,8%,35%,$69.99,$69.99,Included,No hay otra promoción,USA
10001130,Call of Duty®: Modern Warfare® III - Cross-Gen Bundle,2024-05-21T10:41:59.420673,"PS4, PS5",Action,Activision,11/2/2023,"English, French (France), Portuguese (Brazil), Spanish (Mexico)",4.04,328325 ratings,61%,11%,12%,2%,14%,$69.99,$69.99,No hay información,No hay otra promoción,USA
10007176,EA SPORTS FC™ 24 Standard Edition PS4 & PS5,2024-05-21T10:42:00.796713,"PS4, PS5",Sport,Electronic Arts Inc,9/29/2023,"English, French (France), Spanish (Mexico)",3.27,81758 ratings,42%,11%,10%,6%,31%,$69.99,$69.99,Included,No hay otra promoción,USA
10008651,MLB® The Show™ 24 PS5®,2024-05-21T10:42:01.893707,"PS4, PS5",Sport,Sony Interactive Entertainment,3/19/2024,English,3.87,1785 ratings,59%,12%,6%,4%,19%,$69.99,$69.99,Game Trial,No hay otra promoción,USA
10006239,Madden NFL 24,2024-05-21T10:42:03.148742,"PS4, PS5",Sport,Electronic Arts Inc,8/18/2023,English,3.17,11448 ratings,36%,13%,12%,8%,31%,$69.99,$69.99,No hay información,Included,USA
201930,Grand Theft Auto Online (PlayStation®5),2024-05-21T10:42:04.280553,PS5,"Action, Adventure",Rockstar Games,3/15/2022,"Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Korean, Polish, Portuguese (Brazil), Russian, Spanish, Spanish (Mexico)",4.52,690176 ratings,79%,8%,5%,1%,7%,$19.99,$19.99,No hay información,No hay otra promoción,USA
223118,Roblox,2024-05-21T10:42:05.476222,PS4,Unique,ROBLOX Corporation,10/10/2023,"Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Portuguese (Brazil), Spanish",4.22,296746 ratings,68%,9%,11%,2%,11%,Free,Free,No hay información,No hay otra promoción,USA
10008884,Sea of Thieves,2024-05-21T10:42:06.902971,PS5,Adventure,Microsoft Corporation,4/30/2024,"Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Russian, Spanish, Spanish (Mexico), Thai, Turkish",4.5,5241 ratings,81%,7%,2%,1%,9%,$39.99,$39.99,No hay información,No hay otra promoción,USA
212779,Minecraft,2024-05-21T10:42:08.008454,PS4,Adventure,Mojang,12/10/2019,"Bulgarian, Chinese (Simplified), Chinese (Traditional), Czech, Danish, Dutch, English, Finnish, French (Canada), German, Greek, Hungarian, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Portuguese (Portugal), Russian, Slovenian, Spanish, Spanish (Mexico), Swedish, Turkish, Ukrainian",4.32,1574347 ratings,72%,9%,7%,1%,11%,$19.99,$9.99,No hay información,No hay otra promoción,USA
221852,Destiny 2 PS4™ & PS5™,2024-05-21T10:42:09.442956,"PS4, PS5","Adventure, Shooter, Action",Bungie,12/8/2020,"Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Russian, Spanish, Spanish (Mexico)",4.28,291788 ratings,70%,11%,6%,2%,11%,Free,Free,No hay información,No hay otra promoción,USA
10009326,EA SPORTS™ Madden NFL 25 Deluxe Edition PS5 & PS4 + Limited Time Bonus,2024-05-21T10:42:10.577442,PS5,Sport,Electronic Arts Inc,8/12/2024,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,$99.99,$99.99,No hay información,$89.99,USA
10007978,WWE 2K24 Cross-Gen Digital Edition,2024-05-21T10:42:18.374897,"PS4, PS5",Sport,2K,3/8/2024,No hay información,4.51,4371 ratings,78%,10%,4%,2%,6%,$69.99,$69.99,No hay información,No hay otra promoción,USA
10000657,HELLDIVERS™ 2,2024-05-21T10:42:19.674235,PS5,Action,Sony Interactive Entertainment,2/8/2024,"English, French (France), Portuguese (Brazil), Spanish (Mexico)",4.47,75019 ratings,80%,7%,2%,1%,9%,$39.99,$39.99,No hay información,No hay otra promoción,USA
10000333,ELDEN RING PS4 & PS5,2024-05-21T10:42:21.075497,"PS4, PS5",Role Playing Games,Bandai Namco Entertainment America Inc.,2/25/2022,"English, French (France), Portuguese (Brazil), Spanish",4.72,70697 ratings,89%,4%,1%,1%,5%,$59.99,$59.99,No hay información,No hay otra promoción,USA
10000896,Genshin Impact,2024-05-21T10:42:22.277075,"PS4, PS5","Action, Adventure, Role Playing Games",COGNOSPHERE PTE. LTD.,4/27/2021,"Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Portuguese (Portugal), Russian, Spanish, Thai, Turkish, Vietnamese",4.41,336450 ratings,75%,9%,5%,1%,9%,Free,Free,No hay información,No hay otra promoción,USA
232352,Apex Legends™ PS5™,2024-05-21T10:42:24.016638,PS5,"Action, Shooter",Electronic Arts Inc,2/8/2022,"Arabic, Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Russian, Spanish",4.12,769029 ratings,65%,12%,9%,2%,13%,Free,Free,No hay información,No hay otra promoción,USA
