id_juego,Titulo,Día y hora,Plataforma,Genero,Compañia,Lanzamiento,Idiomas,Calificación PSN,Número de calificaciones,Calificación 5 estrellas,Calificación 4 estrellas,Calificación 3 estrellas,Calificación 2 estrellas,Calificación 1 estrella,Precio original,Oferta,Oferta PSPlus,Otra promo diferente a PSPLUS,País Store
10007760,Knight vs Giant: The Broken Excalibur,2024-04-14T19:23:00.326493,PS5,Action,PQUBE LTD,10/5/2023,"Chinese (Simplified), Chinese (Traditional), English, French (France), German, Japanese, Spanish",4.09,68 ratings,53%,26%,6%,6%,9%,$19.99,$19.99,No hay información,No hay otra promoción,USA
10005198,Oddworld: Abe's Exoddus (PS1 Emulation),2024-04-14T19:23:01.865609,"PS4, PS5",Puzzle,Oddworld Inhabitants Inc,12/20/2022,"English, French (France), German, Italian, Spanish",4.58,476 ratings,84%,5%,3%,1%,7%,$9.99,$9.99,Included,No hay otra promoción,USA
10005296,Gale of Windoria,2024-04-14T19:23:03.401579,"PS4, PS5",Role Playing Games,KEMCO,8/4/2022,English,4.28,29 ratings,66%,14%,10%,3%,7%,$14.99,$14.99,No hay información,No hay otra promoción,USA
10008033,Buddy Simulator 1984,2024-04-14T19:23:05.049304,PS5,"Horror, Adventure",Feardemic,4/6/2023,English,4.43,65 ratings,72%,12%,6%,5%,5%,$9.99,$9.99,No hay información,No hay otra promoción,USA
10009444,Invasion,2024-04-14T19:23:06.790652,PS5,"Arcade, Casual",Smobile,11/1/2023,English,3.83,6 ratings,67%,0%,0%,17%,17%,$6.99,$6.99,No hay información,No hay otra promoción,USA
10002420,Horror Bar VR,2024-04-14T19:23:08.532893,PS4,"Casual, Simulation",VR FACTORY,5/12/2022,"Chinese (Simplified), English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Russian, Spanish",2.63,32 ratings,28%,9%,6%,9%,47%,$19.99,$14.99,$12.99,No hay otra promoción,USA
232412,Monstrum,2024-04-14T19:23:10.270316,PS4,"Horror, Action, Horror",SOEDESCO Publishing,5/22/2020,No hay información,4.24,257 ratings,65%,16%,5%,4%,10%,$19.99,$19.99,No hay información,No hay otra promoción,USA
10008828,Fearmonium PS4® & PS5®,2024-04-14T19:23:11.972057,"PS4, PS5","Horror, Action, Horror",Ratalaika Games SL,12/8/2023,"English, French (France), German, Japanese, Portuguese (Portugal), Russian, Spanish",4.49,41 ratings,66%,24%,5%,2%,2%,$12.99,$12.99,No hay información,No hay otra promoción,USA
205183,Velocity®2X,2024-04-14T19:23:13.546084,PS4,Shooter,FuturLab Limited,9/2/2014,No hay información,4.09,27683 ratings,54%,21%,13%,5%,7%,$19.99,$19.99,No hay información,No hay otra promoción,USA
10008395,Gunhead,2024-04-14T19:23:15.104935,PS5,"Shooter, Action",Alientrap Games Inc,11/8/2023,"English, Japanese",4.15,147 ratings,63%,18%,4%,3%,12%,$19.99,$19.99,No hay información,No hay otra promoción,USA
10003403,Endless Fables: Shadow Within,2024-04-14T19:23:16.519694,"PS4, PS5","Adventure, Casual, Puzzle",Artifex Mundi,9/3/2021,"English, French (France)",4.26,107 ratings,62%,19%,9%,5%,6%,Free,Free,No hay información,No hay otra promoción,USA
225430,The Mean Greens - Plastic Warfare,2024-04-14T19:23:18.106386,PS4,"Action, Shooter, Shooter",VIRTUAL BASEMENT LLC,8/5/2020,No hay información,3.32,493 ratings,44%,11%,7%,7%,30%,$9.99,$9.99,No hay información,No hay otra promoción,USA
222884,The Final Station,2024-04-14T19:23:19.694594,PS4,"Action, Shooter, Adventure",tinyBuild GAMES,8/30/2016,No hay información,4.36,683 ratings,65%,20%,7%,2%,6%,$14.99,$3.74,$2.99,No hay otra promoción,USA
10001986,Aery - Little Bird Adventure,2024-04-14T19:23:22.572636,PS4,"Adventure, Simulation",EpiXR Games UG,1/28/2021,English,3,28 ratings,25%,21%,11%,14%,29%,$9.99,$5.99,$4.49,No hay otra promoción,USA
10003192,Arietta of Spirits PS4 & PS5,2024-04-14T19:23:24.108857,"PS4, PS5","Action, Adventure",RED ART GAMES,12/15/2023,"Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Japanese, Polish, Portuguese (Brazil), Russian, Spanish",4.27,150 ratings,61%,16%,17%,3%,4%,$19.99,$19.99,No hay información,No hay otra promoción,USA
229982,IRON CRYPTICLE,2024-04-14T19:23:25.705121,PS4,Shooter,TIKIPOD LTD,7/11/2017,No hay información,4.33,221 ratings,59%,24%,10%,1%,5%,$9.99,$2.99,No hay información,No hay otra promoción,USA
10002509,A Street Cat's Tale,2024-04-14T19:23:27.172422,PS4,"Adventure, Casual","CFK Co., Ltd.",4/28/2022,"Chinese (Traditional), English, Japanese, Korean",4.34,65 ratings,63%,20%,9%,3%,5%,$7.99,$3.99,No hay información,No hay otra promoción,USA
10008799,Motesolo: No Girlfriend Since Birth,2024-04-14T19:23:28.717152,PS5,"Adventure, Adventure","CFK Co., Ltd.",11/30/2023,"Chinese (Simplified), Chinese (Traditional), English, Japanese, Korean",3.42,38 ratings,39%,18%,8%,13%,21%,$19.99,$19.99,No hay información,No hay otra promoción,USA
10003702,RiffTrax: The Game,2024-04-14T19:23:30.239260,PS4,"Casual, Party",WIDE RIGHT INTERACTIVE,5/5/2022,English,4.69,35 ratings,83%,11%,0%,3%,3%,$9.99,$9.99,No hay información,No hay otra promoción,USA
232748,Season Match 2,2024-04-14T19:23:31.770662,PS4,"Casual, Family, Puzzle",Joindots GmbH,4/11/2024,"English, French (France), Spanish",4,1 rating,0%,100%,0%,0%,0%,$9.99,$9.99,No hay información,No hay otra promoción,USA
10001362,Lunch A Palooza,2024-04-14T19:23:33.371086,PS4,"Action, Party",SEASHELL STUDIO C.V.,11/3/2020,"English, German, Italian, Spanish (Mexico)",3.48,33 ratings,52%,6%,9%,6%,27%,$27.99,$27.99,No hay información,No hay otra promoción,USA
10005998,The Smile Alchemist,2024-04-14T19:23:34.833651,"PS4, PS5",Simulation,KEMCO,3/3/2023,English,4.5,22 ratings,59%,32%,9%,0%,0%,$19.99,$11.99,$10.99,No hay otra promoción,USA
10007335,Pyramid Raiders,2024-04-14T19:23:36.538023,PS5,"Arcade, Family",4 GLADIATORS,3/27/2023,English,2.7,10 ratings,20%,10%,20%,20%,30%,$13.99,$6.29,$5.59,No hay otra promoción,USA
10004866,The Gallery,2024-04-14T19:23:38.081079,PS4,Adventure,Aviary Films Limited,9/8/2022,"Arabic, Chinese (Simplified), English, French (France), German, Italian, Japanese, Korean, Portuguese (Brazil), Russian, Spanish, Turkish",4.12,34 ratings,47%,29%,15%,6%,3%,$14.99,$14.99,No hay información,No hay otra promoción,USA
10006372,Sakura Succubus 6  PS4™ & PS5™,2024-04-14T19:23:39.648226,"PS4, PS5","Adventure, Adventure, Adult",Gamuzumi,12/2/2022,"Chinese (Simplified), English, German, Japanese, Spanish",4.53,122 ratings,81%,5%,5%,4%,5%,$7.99,$7.99,No hay información,No hay otra promoción,USA
235389,Goosebumps Dead of Night,2024-04-14T19:23:41.332843,PS4,"Action, Adventure, Puzzle","COSMIC FORCES, INC.",6/29/2020,"Chinese (Simplified), English, French (France), German, Italian, Japanese, Korean, Portuguese (Brazil), Russian, Spanish, Spanish (Mexico)",4.04,122 ratings,60%,16%,8%,2%,15%,$19.99,$19.99,No hay información,No hay otra promoción,USA
10003676,Creepy Tale 2,2024-04-14T19:23:43.050305,PS4,Adventure,No Gravity Games S.A.,4/27/2023,"Chinese (Simplified), Chinese (Traditional), English, French (France), German, Russian, Spanish",3.67,15 ratings,53%,13%,7%,0%,27%,$14.99,$5.99,No hay información,No hay otra promoción,USA
10003435,Very Very Valet Full Game,2024-04-14T19:23:44.842412,PS5,Party,NightHawk Interactive LLC,4/5/2022,"Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Russian, Spanish",5,3 ratings,100%,0%,0%,0%,0%,$14.99,$14.99,No hay información,No hay otra promoción,USA
227467,Shadowgate,2024-04-14T19:23:46.317414,PS4,Adventure,Abstraction Games B.V.,4/11/2019,No hay información,4.21,56 ratings,66%,16%,4%,2%,13%,$19.99,$19.99,No hay información,No hay otra promoción,USA
10005783,Chasing Static PS4™ & PS5™,2024-04-14T19:23:47.900414,"PS4, PS5","Adventure, Horror, Adventure",Ratalaika Games SL,1/12/2023,No hay información,4.02,46 ratings,35%,43%,15%,2%,4%,$14.99,$14.99,No hay información,No hay otra promoción,USA
10006059,Sakura MMO 2 PS4 & PS5,2024-04-14T19:23:49.352414,"PS4, PS5","Adventure, Adventure, Adult",Gamuzumi,9/30/2022,"Chinese (Simplified), English, German, Japanese, Spanish",4.57,69 ratings,77%,12%,4%,6%,1%,$7.99,$7.99,No hay información,No hay otra promoción,USA
10006958,Nock,2024-04-14T19:23:50.901993,PS5,Sport,"Normal VR, LLC",5/25/2023,"Chinese (Simplified), English, French (France), German, Italian, Japanese, Korean, Spanish",3.88,80 ratings,49%,21%,13%,4%,14%,$19.99,$19.99,No hay información,No hay otra promoción,USA
10000727,Supraland,2024-04-14T19:23:52.329031,PS4,"Adventure, Puzzle",Humble Games,10/22/2020,"Chinese (Simplified), Chinese (Traditional), English, Finnish, French (France), German, Hungarian, Italian, Japanese, Polish, Portuguese (Brazil), Russian, Spanish, Turkish",4.53,462 ratings,79%,10%,5%,1%,6%,$19.99,$19.99,No hay información,No hay otra promoción,USA
10010385,BICOLOR BIRD,2024-04-14T19:23:53.740077,PS4,Arcade,Xitilon,4/8/2024,English,4.56,9 ratings,89%,0%,0%,0%,11%,$2.99,$2.99,No hay información,No hay otra promoción,USA
233394,NEKOPARA Vol.2,2024-04-14T19:23:55.577517,PS4,"Adventure, Adventure, Simulation","CFK Co., Ltd.",2/14/2019,No hay información,4.77,323 ratings,88%,7%,2%,1%,3%,$14.99,$2.99,No hay información,No hay otra promoción,USA
233046,War Tech Fighters,2024-04-14T19:23:57.154505,PS4,"Action, Adventure, Action",Blowfish Studios Pty Ltd,6/27/2019,No hay información,4.54,106 ratings,70%,20%,7%,2%,2%,$19.99,$3.99,$1.99,No hay otra promoción,USA
217487,Monster Boy and the Cursed Kingdom,2024-04-14T19:23:58.635484,"PS4, PS5","Action, Action, Adventure",FDG Entertainment GmbH & Co.KG,12/2/2021,"Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Russian, Spanish",4.58,1736 ratings,78%,12%,4%,2%,4%,$39.99,$39.99,Included,No hay otra promoción,USA
216177,DRAGON QUEST HEROES II™ Explorer's Edition,2024-04-14T19:24:01.448474,PS4,"Action, Role Playing Games",SQUARE ENIX CO. LTD.,4/25/2017,No hay información,4.47,2679 ratings,73%,14%,6%,3%,5%,$59.99,$59.99,Included,No hay otra promoción,USA
200175,AeternoBlade,2024-04-14T19:24:02.956318,PS4,Action,CORECELL TECHNOLOGY,8/4/2015,No hay información,3.99,457 ratings,55%,17%,11%,5%,11%,$14.99,$14.99,No hay información,No hay otra promoción,USA
231838,Emily Wants to Play Too,2024-04-14T19:24:04.499139,PS4,"Action, Adventure, Horror",SKH Apps LLC,4/24/2018,No hay información,4.15,711 ratings,65%,13%,6%,4%,12%,$7.99,$7.99,No hay información,No hay otra promoción,USA
10004421,They Always Run,2024-04-14T19:24:05.997882,PS4,"Adventure, Action",Plug In Digital,5/19/2022,"Chinese (Simplified), English, French (France), German, Italian, Russian, Spanish",4.47,55 ratings,65%,24%,7%,0%,4%,$19.99,$19.99,No hay información,No hay otra promoción,USA
223109,Sports Bar VR,2024-04-14T19:24:08.407172,PS4,"Arcade, Party, Sport",Cherry Pop Games,10/18/2016,No hay información,3.5,1335 ratings,39%,20%,12%,9%,19%,$12.49,$12.49,No hay información,No hay otra promoción,USA
