id_juego,Titulo,Día y hora,Plataforma,Genero,Compañia,Lanzamiento,Idiomas,Calificación PSN,Número de calificaciones,Calificación 5 estrellas,Calificación 4 estrellas,Calificación 3 estrellas,Calificación 2 estrellas,Calificación 1 estrella,Precio original sin PSN,Promo_1,Promo_2,Promo_3,Etiqueta Precios,País Store
235358,Skelattack,2024-04-02T14:43:53.082448,PS4,"Action, Adventure, Action","Konami Digital Entertainment, Inc.",6/2/2020,No hay información,3.63,144 ratings,44%,18%,10%,10%,17%,$19.99,$19.99,No hay información,No dispone de promoción extra,"['Downloadable Game', False, 'No hay información', 'No hay información']",USA
233254,Skelly Selest,2024-04-02T14:43:54.206226,PS4,"Action, Action, Shooter",Digerati Distribution,5/21/2019,No hay información,3.66,44 ratings,45%,20%,9%,5%,20%,$9.99,$9.99,No hay información,No dispone de promoción extra,"['Downloadable Game', False, 'No hay información', 'No hay información']",USA
231946,Skorecery,2024-04-02T14:43:55.483922,PS4,"Arcade, Sport","GrappleHook, LLC",4/4/2019,No hay información,4.83,6 ratings,83%,17%,0%,0%,0%,$4.99,$4.99,No hay información,No dispone de promoción extra,"['Game', False, 'No hay información', 'No hay información']",USA
10000395,Skully,2024-04-02T14:43:56.848990,PS4,"Adventure, Puzzle",Maximum Entertainment,8/4/2020,No hay información,3.68,75 ratings,49%,12%,12%,11%,16%,$29.99,$29.99,No hay información,No dispone de promoción extra,"['Game', False, 'No hay información', 'No hay información']",USA
223169,Sky Ride,2024-04-02T14:43:58.173076,PS4,No hay información,MUTAN Inc,2/15/2017,No hay información,3.03,38 ratings,39%,3%,13%,11%,34%,$14.99,$14.99,No hay información,No dispone de promoción extra,"['Downloadable Game', False, 'No hay información', 'No hay información']",USA
229844,SkyTime,2024-04-02T14:43:59.463696,PS4,No hay información,Evgeniy Kolpakov t/a Sometimes You,11/5/2018,No hay información,2.72,94 ratings,29%,12%,7%,7%,45%,$2.99,$2.99,No hay información,No dispone de promoción extra,"['Full Game', False, 'No hay información', 'No hay información']",USA
230025,Skyworld,2024-04-02T14:44:00.731902,PS4,"Family, Strategy, Unique",Vertigo Games B.V,3/26/2019,No hay información,4.37,143 ratings,69%,16%,3%,6%,6%,$29.99,$29.99,No hay información,No dispone de promoción extra,"['Downloadable Game', False, 'No hay información', 'No hay información']",USA
234540,SlabWell,2024-04-02T14:44:02.200905,PS4,No hay información,JanduSoft S.L.,10/7/2019,No hay información,2.91,11 ratings,36%,9%,9%,0%,45%,$7.99,$7.99,No hay información,No dispone de promoción extra,"['Full Game', False, 'No hay información', 'No hay información']",USA
232432,Slam Land,2024-04-02T14:44:03.974141,PS4,"Action, Casual, Sport",Bread Machine LLC,8/7/2018,No hay información,3.67,3 ratings,33%,33%,0%,33%,0%,$7.99,$7.99,No hay información,No dispone de promoción extra,"['Downloadable Game', False, 'No hay información', 'No hay información']",USA
10003514,Sleepin' Guy Deluxe Edition,2024-04-02T14:44:05.352406,PS5,Adventure,Fabio Ferrara trading as Chubby Pixel,3/17/2022,"Arabic, Chinese (Simplified), Danish, Dutch, English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Portugal), Russian, Spanish, Swedish, Turkish",4.84,19 ratings,84%,16%,0%,0%,0%,$9.99,$9.99,No hay información,No dispone de promoción extra,"['Game', False, 'No hay información', 'No hay información']",USA
229831,"SLICE, DICE & RICE",2024-04-02T14:44:06.556843,PS4,"Action, Fighting",ARC SYSTEM WORKS,2/14/2018,No hay información,3.97,119 ratings,55%,15%,12%,6%,12%,$17.99,$17.99,No hay información,No dispone de promoción extra,"['Downloadable Game', False, 'No hay información', 'No hay información']",USA
10001196,Slide Stars,2024-04-02T14:44:09.127071,PS4,"Adventure, Driving/Racing",Lion Castle B.V.,11/10/2020,"English, French (France), Portuguese (Brazil), Spanish",3.66,38 ratings,45%,18%,13%,5%,18%,$8.99,$8.99,No hay información,No dispone de promoción extra,"['Game', False, 'No hay información', 'No hay información']",USA
227503,Slime-san: Superslime Edition,2024-04-02T14:44:10.529016,PS4,"Action, Adventure",Headup Games GmbH & Co. KG,6/26/2018,No hay información,4.1,73 ratings,60%,16%,5%,8%,10%,$14.99,$14.99,No hay información,No dispone de promoción extra,"['Game', False, 'No hay información', 'No hay información']",USA
232918,Slum Ball,2024-04-02T14:44:11.977171,PS4,"Casual, Action, Arcade",Marine Electrical International Limited,6/18/2019,No hay información,2.56,9 ratings,22%,22%,0%,0%,56%,$14.99,$14.99,No hay información,No dispone de promoción extra,"['Downloadable Game', False, 'No hay información', 'No hay información']",USA
229310,Smash Hit Plunder™,2024-04-02T14:44:13.369413,PS4,"Arcade, Family, Unique",TRIANGULAR PIXELS LTD,12/11/2018,No hay información,4,11 ratings,45%,27%,18%,0%,9%,$14.99,$14.99,No hay información,No dispone de promoción extra,"['Game', False, 'No hay información', 'No hay información']",USA
10003581,Smoots Golf,2024-04-02T14:44:15.254783,"PS4, PS5",Sport,JanduSoft S.L.,11/18/2021,"Catalan, English, Spanish",3.67,9 ratings,56%,11%,0%,11%,22%,$12.99,$12.99,No hay información,No dispone de promoción extra,"['Game', False, 'No hay información', 'No hay información']",USA
229835,Smoots World Cup Tennis,2024-04-02T14:44:16.619265,PS4,Unique,JanduSoft S.L.,10/1/2020,"English, French (France), German, Italian, Portuguese (Portugal), Spanish",3.35,17 ratings,47%,12%,6%,0%,35%,$9.99,$9.99,No hay información,No dispone de promoción extra,"['Game', False, 'No hay información', 'No hay información']",USA
227524,SmuggleCraft,2024-04-02T14:44:18.192840,PS4,Driving/Racing,"Happy Badger Studio, LLC",5/23/2017,No hay información,3.44,16 ratings,44%,19%,6%,0%,31%,$9.99,$9.99,No hay información,No dispone de promoción extra,"['Full Game', False, 'No hay información', 'No hay información']",USA
225391,Snow Fortress,2024-04-02T14:44:19.436374,PS4,"Action, Shooter",Mythical City Games Inc.,12/5/2017,No hay información,3.56,18 ratings,44%,17%,11%,6%,22%,$14.99,$14.99,No hay información,No dispone de promoción extra,"['Downloadable Game', False, 'No hay información', 'No hay información']",USA
235367,Soccer Pinball,2024-04-02T14:44:20.828738,PS4,"Arcade, Family, Arcade",KODOBUR,12/20/2019,No hay información,2.67,129 ratings,33%,4%,7%,12%,45%,$1.49,$1.49,No hay información,No dispone de promoción extra,"['Downloadable Game', False, 'No hay información', 'No hay información']",USA
231859,Socketeer,2024-04-02T14:44:22.138987,PS4,No hay información,Alliance Metaversal Studios,8/21/2018,No hay información,3.5,14 ratings,36%,21%,21%,0%,21%,$9.99,$9.99,No hay información,No dispone de promoción extra,"['Downloadable Game', False, 'No hay información', 'No hay información']",USA
216381,Soft Body,2024-04-02T14:44:23.379629,PS4,Action,Bodysoft LLC,5/17/2016,No hay información,4.68,34 ratings,79%,15%,3%,0%,3%,$9.99,$9.99,No hay información,No dispone de promoción extra,"['Downloadable Game', False, 'No hay información', 'No hay información']",USA
10003587,SokoBunny,2024-04-02T14:44:24.793518,PS4,Puzzle,Volkov Konstantin Sergeevich,10/1/2021,"English, French (Canada), French (France), Spanish, Spanish (Mexico)",3.64,14 ratings,50%,7%,14%,14%,14%,$5.99,$5.99,No hay información,No dispone de promoción extra,"['Game', False, 'No hay información', 'No hay información']",USA
10008227,Sokolab,2024-04-02T14:44:26.017219,"PS4, PS5","Strategy, Puzzle",Afil Games,9/30/2023,"English, Portuguese (Brazil), Spanish",3.91,11 ratings,64%,0%,18%,0%,18%,$4.99,$4.99,No hay información,No dispone de promoción extra,"['Game', False, 'No hay información', 'No hay información']",USA
10008054,Sokomage,2024-04-02T14:44:27.504062,"PS4, PS5","Puzzle, Strategy",Afil Games,9/5/2023,"English, German, Portuguese (Brazil), Russian, Spanish",4.17,6 ratings,67%,17%,0%,0%,17%,$4.99,$4.99,No hay información,No dispone de promoción extra,"['Game', False, 'No hay información', 'No hay información']",USA
10009504,SokoWinter,2024-04-02T14:44:28.754202,PS4,Puzzle,QUByte Interactive,12/21/2023,English,3.83,6 ratings,50%,17%,17%,0%,17%,$4.99,$4.99,No hay información,No dispone de promoción extra,"['Game', False, 'No hay información', 'No hay información']",USA
10002117,Solaris Offworld Combat,2024-04-02T14:44:30.214726,PS4,Shooter,FIRST CONTACT ENTERTAINMENT,5/18/2021,"English, French (Canada), Portuguese (Brazil), Spanish (Mexico)",3.21,62 ratings,35%,18%,11%,3%,32%,$24.99,$24.99,No hay información,No dispone de promoción extra,"['Game', False, 'No hay información', 'No hay información']",USA
10002440,SOL CRESTA,2024-04-02T14:44:31.594442,PS4,Shooter,PLATINUMGAMES INC.,2/22/2022,"English, Japanese",4.49,101 ratings,73%,9%,14%,1%,3%,$39.99,$39.99,No hay información,No dispone de promoción extra,"['Game', False, 'No hay información', 'No hay información']",USA
10001924,SOL DIVIDE -SWORD OF DARKNESS-,2024-04-02T14:44:32.877402,PS4,Shooter,"CITY-CONNECTION CO., LTD.",6/29/2022,"Chinese (Simplified), Chinese (Traditional), English, Japanese, Korean",4.43,21 ratings,71%,14%,5%,5%,5%,$9.99,$9.99,No hay información,No dispone de promoción extra,"['Game', False, 'No hay información', 'No hay información']",USA
10007233,S.O.L Search of Light,2024-04-02T14:44:34.160514,No hay información,Strategy,Firenut Consulting S.L.,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No dispone de promoción extra,"['No hay información', 'No hay información', 'No hay información', 'No hay información']",USA
234532,SolSeraph,2024-04-02T14:44:41.572285,PS4,"Action, Strategy","SEGA of America, Inc.",7/10/2019,No hay información,3.49,55 ratings,42%,16%,11%,11%,20%,$14.99,$14.99,No hay información,No dispone de promoción extra,"['Downloadable Game', False, 'No hay información', 'No hay información']",USA
234543,Songbird Symphony,2024-04-02T14:44:42.994336,PS4,"Action, Family, Adventure",PQUBE LTD,7/25/2019,No hay información,4.54,182 ratings,69%,19%,10%,1%,1%,$16.99,$16.99,No hay información,No dispone de promoción extra,"['Full Game', False, 'No hay información', 'No hay información']",USA
221786,Songbringer Bundle,2024-04-02T14:44:44.241507,PS4,No hay información,Double Eleven,4/24/2018,No hay información,4.2,156 ratings,62%,17%,8%,7%,6%,$19.99,$19.99,No hay información,No dispone de promoción extra,"['Game', False, 'No hay información', 'No hay información']",USA
228834,Soul Dimension,2024-04-02T14:44:45.662333,PS4,No hay información,Time of Virtual Reality,8/22/2017,No hay información,3.47,347 ratings,41%,16%,13%,8%,22%,$4.99,$4.99,No hay información,No dispone de promoción extra,"['Downloadable Game', False, 'No hay información', 'No hay información']",USA
