id_juego,Titulo,Día y hora,Plataforma,Genero,Compañia,Lanzamiento,Idiomas,Calificación PSN,Número de calificaciones,Calificación 5 estrellas,Calificación 4 estrellas,Calificación 3 estrellas,Calificación 2 estrellas,Calificación 1 estrella,Precio original,Oferta,Oferta PSPlus,Otra promo diferente a PSPLUS,País Store
10003817,Absolute Tactics: Daughters of Mercy,2024-05-08T12:11:30.327785,"PS4, PS5","Adventure, Strategy","Akupara Games, LLC",11/17/2022,"Chinese (Simplified), English, French (France), German, Italian, Japanese, Korean, Russian, Spanish",4.29,24 ratings,54%,25%,17%,4%,0%,$24.99,$24.99,No hay información,No hay otra promoción,USA
10002635,Acalesia,2024-05-08T12:11:31.482224,PS4,Action,VICTORY ROAD,4/1/2021,English,3.41,27 ratings,41%,7%,26%,4%,22%,$4.99,$4.99,No hay información,No hay otra promoción,USA
231216,ACA NEOGEO BLAZING STAR,2024-05-08T12:11:32.705922,PS4,"Arcade, Shooter",HAMSTER Corporation,1/22/2019,No hay información,4.75,219 ratings,82%,14%,2%,1%,1%,$7.99,$7.99,No hay información,No hay otra promoción,USA
225056,ACA NEOGEO LAST RESORT,2024-05-08T12:11:34.401106,PS4,"Arcade, Shooter",HAMSTER Corporation,5/2/2017,No hay información,4.5,236 ratings,70%,18%,7%,1%,4%,$7.99,$3.99,No hay información,No hay otra promoción,USA
231959,ACA NEOGEO PREHISTORIC ISLE 2,2024-05-08T12:11:35.619628,PS4,No hay información,HAMSTER Corporation,3/26/2019,No hay información,4.66,82 ratings,79%,11%,7%,1%,1%,$7.99,$3.99,No hay información,No hay otra promoción,USA
224808,ACA NEOGEO SENGOKU,2024-05-08T12:11:37.250711,PS4,"Action, Arcade",HAMSTER Corporation,3/16/2017,No hay información,4.33,163 ratings,67%,13%,11%,4%,5%,$7.99,$7.99,No hay información,No hay otra promoción,USA
227076,ACA NEOGEO SENGOKU 2,2024-05-08T12:11:38.471638,PS4,"Action, Arcade, Fighting",HAMSTER Corporation,6/15/2017,No hay información,4.61,141 ratings,77%,12%,9%,0%,2%,$7.99,$7.99,No hay información,No hay otra promoción,USA
232812,ACA NEOGEO STRIKERS 1945 PLUS,2024-05-08T12:11:39.709452,PS4,Shooter,HAMSTER Corporation,7/1/2019,No hay información,4.43,135 ratings,76%,9%,7%,1%,8%,$7.99,$7.99,No hay información,No hay otra promoción,USA
221818,Ace Banana,2024-05-08T12:11:41.260779,PS4,No hay información,Oasis Games Limited,10/13/2016,No hay información,2.83,242 ratings,24%,10%,22%,16%,29%,$14.99,$14.99,No hay información,No hay otra promoción,USA
233126,A Chair in a Room: Greenwater,2024-05-08T12:11:42.546509,PS4,"Horror, Horror, Adventure",WOLF & WOOD INTERACTIVE LTD.,4/23/2019,No hay información,3.8,102 ratings,44%,24%,13%,8%,12%,$24.99,$24.99,No hay información,No hay otra promoción,USA
