id_juego,Titulo,Día y hora,Plataforma,Genero,Compañia,Lanzamiento,Idiomas,Calificación PSN,Número de calificaciones,Calificación 5 estrellas,Calificación 4 estrellas,Calificación 3 estrellas,Calificación 2 estrellas,Calificación 1 estrella,Precio original sin PSN,Precio actual sin PSN,Precio original con PSN,Precio actual con PSN
225857,Shadow of the Colossus™,2024-02-27 17:30:41.424218,['PS4'],"['Acción', 'Aventura']",Sony Interactive Entertainment Europe,2018-02-06,"Alemán, Danés, Español, Finlandés, Francés (Francia), Inglés, Italiano, Neerlandés, Noruego, Polaco, Portugués (Portugal), Ruso, Sueco, Turco, Árabe",4.37,45339,75,9,5,3,9,39.99,19.99,39.99,0.02
10002771,Persona 5 Royal,2024-02-27 17:30:43.991471,['PS5'],['Rol'],SEGA EUROPE LTD,2022-10-20,"Alemán, Español, Francés (Francia), Inglés, Italiano",4.92,2347,96,2,1,0,1,59.99,59.99,59.99,59.99
10002630,The Binding of Isaac: Repentance,2024-02-27 17:30:53.271340,['PS5'],['Acción'],Nicalis Inc.,2021-11-04,Inglés,4.87,473,94,3,1,0,2,59.99,59.99,59.99,59.99
227252,Versión de PlayStation®5 de Wreckfest,2024-02-27 17:30:56.340466,"['PS4', 'PS5']","['Conducción', 'Carreras', 'Simulación', 'Deporte']",THQ NORDIC GMBH,2021-05-03,No hay información,4.38,8809,71,14,6,2,7,39.99,15.99,39.99,0.02
10000579,WRC 9 FIA World Rally Championship PS4 & PS5,2024-02-27 17:30:59.133097,"['PS4', 'PS5']","['Conducción', 'Carreras']",NACON SA,2020-11-11,No hay información,4.02,954,59,16,6,5,14,39.99,7.99,,7.99
200163,A.O.T. Wings of Freedom,2024-02-27 17:31:02.112723,['PS4'],"['Acción', 'Acción']",Koei Tecmo Europe Ltd,2016-09-22,"Alemán, Francés (Francia), Inglés",4.66,4418,80,12,4,1,3,39.99,39.99,39.99,39.99
202761,Edición Legión de La Tierra Media™: Sombras de Mordor™,2024-02-27 17:31:04.796922,['PS4'],"['Acción', 'Aventura', 'Acción']",WARNER BROS. INTERACTIVE,2014-10-02,"Alemán, Español, Francés (Francia), Inglés, Italiano, Polaco, Ruso",4.66,76630,77,17,3,1,2,19.99,4.99,,4.99
234422,Blasphemous,2024-02-27 17:31:08.188776,['PS4'],"['Acción', 'Aventura', 'Rol']",Team 17 Digital LTD,2019-09-09,"Alemán, Chino (Simplificado), Coreano, Español, Francés (Francia), Inglés, Italiano, Japonés, Portugués (Brasil), Ruso",4.65,7833,81,12,2,2,3,24.99,6.24,24.99,0.02
10002042,Saints Row PS4&PS5,2024-02-27 17:31:10.631319,"['PS4', 'PS5']",['Shooter'],Deep Silver,2022-08-22,"Alemán, Chino (Simplificado), Chino (Tradicional), Coreano, Español, Español (México), Francés (Francia), Inglés, Italiano, Polaco, Portugués (Brasil), Ruso",3.19,16408,37,12,13,11,28,29.99,29.99,29.99,29.99
221750,Rise of the Tomb Raider: 20º aniversario,2024-02-27 17:31:13.028474,['PS4'],"['Acción', 'Rol']",CRYSTAL DYNAMICS,2016-10-10,"Alemán, Español, Francés (Francia), Inglés, Italiano, Neerlandés, Polaco, Portugués (Brasil), Ruso",4.48,81106,74,13,6,1,6,29.99,5.99,29.99,5.99
10001874,HOT WHEELS UNLEASHED™,2024-02-27 17:31:15.644758,['PS5'],"['Conducción', 'Carreras']",MILESTONE SRL,2021-09-29,"Alemán, Chino (Simplificado), Chino (Tradicional), Coreano, Español, Español (México), Francés (Canadá), Francés (Francia), Inglés, Italiano, Japonés, Polaco, Portugués (Brasil), Ruso, Tailandés",4.05,9214,56,14,19,3,9,39.99,39.99,39.99,39.99
230019,SOULCALIBUR Ⅵ,2024-02-27 17:31:19.054556,['PS4'],"['Lucha', 'Lucha']",BANDAI NAMCO ENTERTAINMENT EUROPE,2018-10-18,"Alemán, Español, Francés (Francia), Inglés, Italiano, Ruso",4.47,10155,75,12,5,2,7,69.99,0.02,69.99,0.02
229261,Rec Room,2024-02-27 17:31:21.661668,['PS5'],"['Deporte', 'Únicos']",AGAINST GRAVITY CORP,2021-12-09,Inglés,4.15,201177,64,12,10,2,12,0.0,0.0,0.00,0.0
10007904,Teardown,2024-02-27 17:31:24.722503,['PS5'],"['Simulación', 'Acción', 'Estrategia']","Saber Interactive, Inc",2023-11-15,"Alemán, Chino (Simplificado), Español, Francés (Francia), Inglés, Italiano, Japonés, Polaco, Ruso",4.37,7182,74,9,6,3,8,29.99,0.02,29.99,0.02
235108,Sherlock Holmes Chapter One,2024-02-27 17:31:27.703597,"['PS4', 'PS5']","['Acción', 'Aventura']",FROGWARES IRELAND LTD,2021-11-15,"Alemán, Checo, Chino (Simplificado), Chino (Tradicional), Coreano, Español, Francés (Francia), Inglés, Italiano, Japonés, Polaco, Portugués (Brasil), Ruso, Turco, Ucraniano, Árabe",4.25,655,61,20,8,4,7,44.99,8.99,,8.99
