id_juego,Titulo,Día y hora,Plataforma,Genero,Compañia,Lanzamiento,Idiomas,Calificación PSN,Número de calificaciones,Calificación 5 estrellas,Calificación 4 estrellas,Calificación 3 estrellas,Calificación 2 estrellas,Calificación 1 estrella,Precio original sin PSN,Precio actual sin PSN,Precio original con PSN,Precio actual con PSN
234959,SnowRunner,2024-02-22T15:22:11.438518,"PS4, PS5","Arcade, Conducción/Carreras, Simulación",Focus Entertainment,31/5/2022,No hay información,4.24,20.148 calificaciones,70 %,11 %,5 %,3 %,12 %,"49,99 €","24,99 €",,"24,99 €"
10004462,Like a Dragon: Infinite Wealth PS4 & PS5,2024-02-22T15:22:15.284019,"PS4, PS5",Juegos de rol,SEGA EUROPE LTD,25/1/2024,"Alemán, Chino (Simplificado), Chino (Tradicional), Coreano, Español, Francés (Francia), Inglés, Italiano, Japonés, Portugués (Brasil), Ruso",4.87,3.368 calificaciones,94 %,3 %,1 %,1 %,1 %,"69,99 €","69,99 €","69,99 €","69,99 €"
10004911,Mortal Kombat™ 1,2024-02-22T15:22:19.345453,PS5,Lucha,WARNER BROS. INTERACTIVE,18/9/2023,"Alemán, Español, Español (México), Francés (Francia), Inglés, Italiano, Polaco, Portugués (Brasil), Ruso",4.47,19.479 calificaciones,71 %,17 %,5 %,2 %,5 %,"74,99 €","74,99 €","74,99 €","74,99 €"
10002065,Alan Wake 2,2024-02-22T15:22:24.028570,PS5,Terror,EPIC GAMES,27/10/2023,"Alemán, Chino (Simplificado), Chino (Tradicional), Coreano, Español, Español (México), Francés (Francia), Inglés, Italiano, Japonés, Polaco, Portugués (Brasil), Ruso, Ucraniano",4.79,17.278 calificaciones,90 %,5 %,2 %,1 %,2 %,"59,99 €","59,99 €","59,99 €","59,99 €"
234567,Cyberpunk 2077,2024-02-22T15:22:27.175328,"PS4, PS5","Juegos de rol, Únicos",CD PROJEKT,15/2/2022,No hay información,4.32,94.172 calificaciones,72 %,12 %,4 %,3 %,10 %,"49,99 €","49,99 €","49,99 €","49,99 €"
10001771,Farming Simulator 22 PS4 & PS5,2024-02-22T15:22:30.554902,"PS4, PS5","Simulación, Simulador",GIANTS SOFTWARE GMBH,21/11/2021,No hay información,4.25,18.564 calificaciones,70 %,10 %,6 %,2 %,11 %,"29,99 €","29,99 €","29,99 €","29,99 €"
234659,Need for Speed™ Heat,2024-02-22T15:22:33.679892,PS4,Conducción/Carreras,EA Swiss Sarl,7/11/2019,"Alemán, Español, Francés (Francia), Inglés, Italiano, Polaco, Ruso, Árabe",4.19,47.239 calificaciones,67 %,12 %,7 %,3 %,12 %,"69,99 €","3,49 €","69,99 €",Incluido
10000248,HITMAN World of Assassination,2024-02-22T15:22:37.508646,"PS4, PS5",Acción,IO Interactive A/S,26/1/2023,No hay información,4.35,25.026 calificaciones,72 %,11 %,7 %,1 %,9 %,"99,99 €","44,99 €",,"44,99 €"
216600,No Man's Sky PS4 & PS5,2024-02-22T15:22:40.684597,"PS4, PS5","Acción, Aventura, Únicos",Hello Games LTD,11/11/2020,No hay información,3.8,83.937 calificaciones,54 %,14 %,7 %,6 %,19 %,"49,99 €","24,99 €","49,99 €","24,99 €"
233032,Black Desert: Traveler Edition,2024-02-22T15:22:43.479489,PS4,"Juegos de rol, Juegos de rol",PEARL ABYSS,17/5/2023,"Alemán, Chino (Simplificado), Chino (Tradicional), Coreano, Español, Francés (Francia), Inglés, Japonés, Ruso",3.83,12.823 calificaciones,59 %,10 %,6 %,4 %,21 %,"29,99 €","5,99 €",,"5,99 €"
231756,Mortal Kombat 11,2024-02-22T15:22:46.728005,"PS4, PS5",Lucha,WARNER BROS. INTERACTIVE,17/11/2020,"Alemán, Español, Francés (Francia), Inglés, Italiano, Polaco, Ruso",4.51,69.579 calificaciones,78 %,9 %,6 %,1 %,6 %,"49,99 €",Incluido,"49,99 €",Incluido
231769,Metro Exodus,2024-02-22T15:22:52.195565,"PS4, PS5","Acción, Aventura, Juegos de disparos",Deep Silver,17/6/2021,No hay información,4.53,43.147 calificaciones,76 %,11 %,6 %,2 %,5 %,"29,99 €","4,49 €",,"4,49 €"
228638,The Last of Us™ Remastered,2024-02-22T15:22:56.082403,PS4,"Acción, Aventura",Sony Interactive Entertainment Europe,29/7/2014,"Alemán, Checo, Danés, Español, Finlandés, Francés (Francia), Griego, Inglés, Italiano, Neerlandés, Noruego, Portugués (Portugal), Sueco, Turco",4.81,389.252 calificaciones,90 %,5 %,3 %,0 %,2 %,"19,99 €","9,99 €","19,99 €",Incluido
